t_ms	bot_id	team	code	changed_slots
0	bot-25	alpha	D00r--000	initial
0	bot-28	bravo	P00r-4410	initial
0	bot-30	bravo	P00r-4320	initial
0	bot-33	alpha	D00r--000	initial
0	bot-35	alpha	D00r--000	initial
0	bot-36	bravo	P00r-3420	initial
0	bot-39	alpha	D00m--000	initial
0	bot-41	alpha	D00r--000	initial
0	bot-42	bravo	D00r--000	initial
0	bot-43	bravo	D00r--000	initial
0	bot-44	bravo	D00r--000	initial
0	bot-46	alpha	D00r--000	initial
0	bot-47	bravo	D00m--0A0	initial
0	bot-48	bravo	D00r--000	initial
0	bot-49	alpha	D00m--000	initial
0	bot-50	alpha	D00r--000	initial
0	bot-51	bravo	U00r-4310	initial
0	bot-52	alpha	D00r--000	initial
0	bot-53	bravo	D00r--000	initial
0	bot-54	alpha	D00r--000	initial
0	bot-55	bravo	D00m--000	initial
0	bot-56	alpha	D00m--000	initial
0	bot-57	alpha	D00r--000	initial
0	bot-58	alpha	D00r--000	initial
0	bot-59	alpha	U00r-3410	initial
0	bot-60	alpha	P00m-2330	initial
0	bot-61	bravo	D00r--000	initial
0	bot-62	alpha	P00r-4320	initial
0	bot-63	bravo	D00r--000	initial
0	bot-64	alpha	P00r-2420	initial
0	bot-65	alpha	D00r--000	initial
0	bot-66	alpha	U00m-2430	initial
0	bot-67	alpha	U00r-4410	initial
0	bot-68	bravo	D00r--000	initial
0	bot-69	alpha	P00r-4320	initial
0	bot-70	bravo	P00m-4420	initial
0	bot-71	alpha	S00r-4410	initial
0	bot-72	bravo	P00r-4410	initial
0	bot-73	bravo	P00r-4410	initial
0	bot-74	bravo	P00r-4410	initial
1015	bot-62	alpha	S00r-4320	state
1235	bot-69	alpha	S00r-4320	state
1370	bot-60	alpha	S00m-2330	state
1370	bot-64	alpha	S00r-2420	state
5782	bot-71	alpha	P00r-4410	state
10784	bot-71	alpha	S00r-4410	state
13017	bot-62	alpha	P00r-4320	state
13251	bot-69	alpha	P00r-4320	state
13379	bot-60	alpha	P00m-2330	state
13379	bot-64	alpha	P00r-2420	state
18024	bot-62	alpha	S00r-4320	state
18275	bot-69	alpha	S00r-4320	state
18394	bot-60	alpha	S00m-2330	state
18394	bot-64	alpha	S00r-2420	state
22792	bot-71	alpha	P00r-4410	state
27797	bot-71	alpha	S00r-4410	state
30043	bot-62	alpha	P00r-4320	state
30282	bot-69	alpha	P00r-4320	state
30415	bot-60	alpha	P00m-2330	state
30415	bot-64	alpha	P00r-2420	state
35060	bot-62	alpha	S00r-4320	state
35295	bot-69	alpha	S00r-4320	state
35429	bot-60	alpha	S00m-2330	state
35429	bot-64	alpha	S00r-2420	state
39811	bot-71	alpha	P00r-4410	state
44824	bot-71	alpha	S00r-4410	state
47082	bot-62	alpha	P00r-4320	state
47298	bot-69	alpha	P00r-4320	state
47431	bot-60	alpha	P00m-2330	state
47431	bot-64	alpha	P00r-2420	state
52106	bot-62	alpha	S00r-4320	state
52321	bot-69	alpha	S00r-4320	state
52453	bot-60	alpha	S00m-2330	state
52453	bot-64	alpha	S00r-2420	state
56825	bot-71	alpha	P00r-4410	state
