t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode
0	bot-115	alpha	S00r-4320	initial	-12.48	-17.62	52	2.40		0.83	1	seek
0	bot-116	alpha	P00m-2200	initial	-15.99	-19.62	257	2.40		2.51	1	squad
0	bot-137	alpha	S00r-4310	initial	-12.57	-16.66	198	2.40		0.68	1	seek
0	bot-140	alpha	S00r-4310	initial	-13.49	-16.86	103	2.40		3.23	1	seek
0	bot-146	alpha	S00r-4310	initial	-10.34	-17.92	183	1.32		2.04	1	seek
0	bot-149	alpha	S00r-4310	initial	-11.36	-17.57	227	2.40		0.39	1	seek
0	bot-160	bravo	D00r--000	initial	9.62	-16.09	311	0.00		5.60	0	
0	bot-165	bravo	D00r--000	initial	-2.58	-5.43	349	0.00		6.80	0	
0	bot-166	alpha	D00r--000	initial	-21.83	-20.64	16	0.00		5.44	0	
0	bot-168	alpha	D00r--000	initial	1.29	3.00	188	0.00		4.06	0	
0	bot-169	bravo	D00r--000	initial	4.45	-9.04	224	0.00		4.82	0	
0	bot-170	bravo	D00m--0A0	initial	-5.86	-10.78	144	0.00			0	
0	bot-171	bravo	S00r-2320	initial	0.53	-3.41	0	1.94		9.47	2	seek
0	bot-174	bravo	D00m--000	initial	-24.44	11.57	180	0.00		3.98	0	
0	bot-175	bravo	D00r--000	initial	-11.33	-7.07	126	0.00		5.12	0	
0	bot-176	bravo	D00r--000	initial	-8.98	10.64	187	0.00		5.57	0	
0	bot-177	alpha	D00r--000	initial	-5.96	-23.36	80	0.00			0	
0	bot-178	alpha	D00m--000	initial	-3.54	2.45	39	0.00		6.23	0	
0	bot-179	alpha	D00r--000	initial	-5.45	-3.09	359	0.00		5.56	0	
0	bot-180	alpha	D00r--000	initial	-23.57	-24.20	2	0.00			0	
0	bot-181	bravo	S00r-2420	initial	4.17	-7.09	354	2.01		9.65	2	seek
0	bot-182	alpha	D00r--000	initial	-6.03	-12.66	70	0.00		4.97	0	
0	bot-183	bravo	M00m-34B0	initial	9.56	-16.28	327	0.00			0	
0	bot-184	alpha	D00m--000	initial	-1.24	5.76	333	0.00		5.30	0	
0	bot-185	alpha	D00r--000	initial	-9.69	-24.25	333	0.00			0	
0	bot-186	bravo	S00r-2420	initial	1.71	-6.93	338	1.92		9.05	2	seek
0	bot-187	alpha	D00r--000	initial	3.22	-5.57	62	0.00		6.05	0	
0	bot-188	alpha	D00r--000	initial	-23.25	-7.51	84	0.00			0	
0	bot-189	alpha	D00m--000	initial	22.19	-3.27	256	0.00		3.38	0	
0	bot-190	alpha	D00r--000	initial	9.73	21.88	214	0.00		4.27	0	
0	bot-191	bravo	A00r-4410	initial	3.23	-11.49	101	0.00			0	
0	bot-192	alpha	D00r--000	initial	14.15	-14.64	287	0.00		5.38	0	
0	bot-193	bravo	S00r-4420	initial	1.30	3.31	145	1.33		19.78	3	seek
0	bot-194	alpha	D00r--000	initial	3.36	-10.27	125	0.00		3.98	0	
0	bot-195	alpha	D00m--000	initial	20.88	-4.71	347	0.00		5.31	0	
0	bot-196	bravo	S00m-4420	initial	-4.67	3.21	317	1.20		1.23	1	seek
0	bot-197	alpha	D00r--000	initial	-1.93	4.14	3	0.00		6.32	0	
0	bot-198	bravo	C00r-4422	initial	5.79	-13.06	95	4.54		4.08	2	cover
0	bot-199	alpha	E00r-4421	initial	14.30	-13.71	242	1.47		1.07	1	flee
94	bot-183	bravo	S00m-34B0	state	9.56	-16.28	327	0.00	0.00		0	
111	bot-115	alpha	P00r-4320	state	-12.49	-17.86	78	2.40	0.24	0.59	1	seek
144	bot-140	alpha	P00r-4310	state	-13.25	-17.08	108	2.39	0.32	2.94	1	seek
177	bot-181	bravo	S21r-2420	tier+score	4.13	-6.73	341	1.99	0.36	9.30	2	seek
177	bot-183	bravo	S00m-33B0	health	9.39	-16.10	316	2.41	0.24	21.13	3	seek
177	bot-186	bravo	S21r-2420	tier+score	1.57	-6.59	338	2.01	0.36	8.69	2	seek
177	bot-191	bravo	A21r-4410	tier+score	3.23	-11.49	100	0.00	0.00		0	
177	bot-198	bravo	C21r-4422	tier+score	5.42	-13.78	89	4.11	0.81	3.29	2	cover
194	bot-171	bravo	S21r-2320	tier+score	0.53	-3.02	357	1.97	0.39	9.08	2	seek
194	bot-183	bravo	S21m-33B0	tier+score	9.36	-16.07	316	2.40	0.04	21.09	3	seek
211	bot-193	bravo	A00r-4420	state	1.53	3.07	145	2.44	0.34	19.44	3	seek
228	bot-193	bravo	A00r-442G	latches	1.53	3.07	142	0.01	0.00		0	
244	bot-191	bravo	F21r-4410	state	3.23	-11.49	100	0.00	0.00		0	
244	bot-199	alpha	E00r-4321	health	14.56	-13.45	244	1.51	0.37	0.69	1	flee
261	bot-191	bravo	A21r-4410	state	3.23	-11.49	100	0.00	0.00		0	
294	bot-171	bravo	S32r-2320	tier+score	0.53	-2.82	357	1.98	0.20	8.89	2	seek
294	bot-181	bravo	S32r-2420	tier+score	4.10	-6.50	340	2.00	0.23	9.08	2	seek
294	bot-183	bravo	E32m-32B0	state+tier+score+health	9.23	-15.93	316	2.40	0.20		0	
294	bot-186	bravo	S32r-2420	tier+score	1.48	-6.37	340	2.04	0.24	8.45	2	seek
294	bot-191	bravo	A32r-4410	tier+score	3.23	-11.49	100	0.00	0.00		0	
294	bot-198	bravo	C32r-4422	tier+score	5.19	-14.22	85	4.29	0.50	2.80	1	muzzleRecovery
311	bot-183	bravo	E32m-32B9	latches	9.13	-15.79	316	5.08	0.17	5.34	3	flee
311	bot-198	bravo	P32r-4420	state+latches	5.19	-14.22	85	4.12	0.00	2.80	1	muzzleRecovery
328	bot-191	bravo	C32r-4410	state	3.23	-11.49	100	0.00	0.00		0	
344	bot-191	bravo	C32r-4412	latches	3.25	-11.54	99	1.53	0.05	5.57	1	cover
344	bot-198	bravo	A32r-4420	state	5.30	-14.14	77	0.00	0.14	2.91	0	muzzleRecovery
411	bot-146	alpha	P00r-4310	state	-10.36	-18.55	184	2.40	0.63	1.40	1	seek
411	bot-171	bravo	S33r-2320	score	0.53	-2.59	357	1.99	0.23	8.66	2	seek
411	bot-181	bravo	S33r-2420	score	4.08	-6.27	340	2.01	0.23	8.85	2	seek
411	bot-183	bravo	E33m-31B9	score+health	8.84	-15.37	316	5.06	0.50	5.22	3	flee
411	bot-186	bravo	S33r-2420	score	1.39	-6.15	340	2.09	0.24	8.21	2	seek
411	bot-191	bravo	C33r-4412	score	3.27	-11.63	98	1.50	0.10	5.47	1	cover
411	bot-198	bravo	F33r-4420	state+score	5.30	-14.14	85	0.00	0.00		0	
411	bot-199	alpha	E10r-4321	tier	14.81	-13.19	250	4.62	0.35	0.34	1	flee
427	bot-198	bravo	A33r-4420	state	5.30	-14.14	85	0.00	0.00		0	
444	bot-199	alpha	A10r-4320	state+latches	14.81	-13.19	251	0.07	0.00		0	
461	bot-193	bravo	S00r-4420	state+latches	1.53	3.07	142	0.00	0.00		0	
477	bot-191	bravo	C33r-3412	ammo	3.30	-11.73	97	1.50	0.10	5.37	1	muzzleRecovery
494	bot-191	bravo	P33r-3410	state+latches	3.30	-11.73	97	1.27	0.00	5.37	1	muzzleRecovery
511	bot-199	alpha	F10r-4320	state	14.81	-13.19	252	0.00	0.00		0	
527	bot-171	bravo	S44rm2320	tier+score+element	0.53	-2.36	357	1.99	0.23	8.43	2	seek
527	bot-181	bravo	S44rm2420	tier+score+element	4.05	-6.04	340	2.01	0.23	8.63	2	seek
527	bot-183	bravo	E44mm30B9	tier+score+element+health	8.35	-15.21	316	4.86	0.52	4.85	2	flee
527	bot-186	bravo	S44rm2420	tier+score+element	1.30	-5.92	340	2.17	0.25	7.96	2	seek
527	bot-198	bravo	F44rb4420	state+tier+score+element	5.30	-14.14	84	0.00	0.00		0	
527	bot-199	alpha	E10r-4220	state+health	14.81	-13.19	252	0.00	0.00		0	
544	bot-198	bravo	A44rb4420	state	5.30	-14.14	84	0.00	0.00		0	
544	bot-199	alpha	E10r-4229	latches	14.71	-13.32	253	4.82	0.16	5.91	1	flee
594	bot-198	bravo	C44rb4420	state	5.30	-14.14	85	0.00	0.00		0	
611	bot-198	bravo	C44rb4422	latches	5.28	-14.18	86	1.39	0.05	2.86	2	cover
628	bot-199	alpha	P10r-4220	state+latches	14.51	-13.58	256	4.99	0.33		0	
