t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id
0	bot-164	bravo	D00r--000	initial	-19.85	-22.73	349	0.00		4.72	0		squad-27	-1	bot-234
0	bot-196	alpha	P00m-3420	initial	6.75	5.69	246	0.03			0		squad-26	0	bot-196
0	bot-205	alpha	P00m-34D0	initial	13.60	-0.00	91	0.00			0		squad-26	3	bot-196
0	bot-226	alpha	P32m-3320	initial	-17.49	-14.00	19	2.40		1.31	1	muzzleRecovery	squad-26	4	bot-196
0	bot-233	alpha	D00r--000	initial	-24.19	-11.77	38	0.00			0		squad-26	-1	bot-196
0	bot-234	bravo	S00r-4410	initial	-16.99	-19.62	295	0.58		1.61	1	seek	squad-27	0	bot-234
0	bot-235	alpha	D00r--000	initial	-24.15	-10.37	50	0.00			0		squad-26	-1	bot-196
0	bot-236	bravo	S00r-4410	initial	-16.72	-20.14	315	2.30		2.42	1	seek	squad-27	1	bot-234
0	bot-237	alpha	P32r-2204	initial	-16.21	-13.72	57	0.00			0		squad-26	5	bot-196
0	bot-238	bravo	S00r-4420	initial	-17.53	-21.48	49	1.32		1.58	1	seek	squad-27	2	bot-234
0	bot-240	bravo	C21m-44B2	initial	-21.64	-10.11	133	1.83		6.08	2	cover	squad-27	5	bot-234
0	bot-242	bravo	D00r--000	initial	-20.65	-20.25	345	0.00		7.08	0		squad-27	-1	bot-234
0	bot-243	alpha	D00r--000	initial	-20.07	-8.81	28	0.00		4.69	0		squad-26	-1	bot-196
0	bot-244	bravo	S00r-4410	initial	-17.38	-20.90	120	1.32		1.08	1	seek	squad-27	3	bot-234
0	bot-245	bravo	C21r-R312	initial	-13.96	-0.16	90	1.94		8.85	2	cover	squad-27	6	bot-234
0	bot-246	alpha	G33r-4412	initial	-0.40	3.05	300	0.78			0		squad-26	1	bot-196
0	bot-247	bravo	S00m-4320	initial	-18.75	-19.42	39	0.23		1.26	1	seek	squad-27	7	bot-234
0	bot-248	bravo	C00r-4312	initial	-16.32	-2.52	186	3.17		2.84	2	cover	squad-27	4	bot-234
0	bot-249	alpha	D00m--000	initial	-9.56	9.09	210	0.00		3.73	0		squad-26	-1	bot-196
0	bot-250	alpha	P00r-4410	initial	18.77	-7.66	279	0.00			0		squad-26	2	bot-196
92	bot-226	alpha	T32m-3320	state	-17.29	-14.00	40	0.00	0.20	1.11	0	muzzleRecovery	squad-26	4	bot-196
108	bot-246	alpha	G32r-4412	score	-0.41	3.05	309	0.52	0.01		0		squad-26	1	bot-196
175	bot-226	alpha	M32m-3320	state	-17.29	-14.00	19	0.00	0.00	1.11	0		squad-26	4	bot-196
192	bot-240	bravo	C00m-44B2	tier+score	-21.45	-10.43	122	1.83	0.37	5.72	2	cover	squad-27	5	bot-234
192	bot-245	bravo	C00r-R312	tier+score	-13.99	-0.48	89	1.21	0.32	8.54	2	cover	squad-27	6	bot-234
225	bot-226	alpha	M32m-2320	ammo	-17.01	-14.05	6	4.11	0.28	2.06	1	medic	squad-26	4	bot-196
410	bot-226	alpha	T32m-2320	state	-16.44	-14.11	4	0.10	0.57	1.50	0		squad-26	4	bot-196
476	bot-246	alpha	C32r-4412	state	-0.52	3.12	295	0.60	0.13		0		squad-26	1	bot-196
493	bot-246	alpha	G32r-4412	state	-0.51	3.12	295	0.59	0.01		0		squad-26	1	bot-196
577	bot-248	bravo	P00r-4310	state+latches	-15.32	-1.40	185	4.69	1.51	1.44	1	muzzleRecovery	squad-27	4	bot-234
644	bot-248	bravo	C00r-4310	state	-15.63	-1.43	202	0.00	0.31	1.74	0	muzzleRecovery	squad-27	4	bot-234
661	bot-248	bravo	C00r-4312	latches	-15.57	-1.37	194	2.46	0.09	2.51	1	cover	squad-27	4	bot-234
677	bot-245	bravo	C10r-R312	tier	-14.12	-1.01	88	1.29	0.55	8.03	2	cover	squad-27	6	bot-234
694	bot-226	alpha	P32m-2320	state	-16.44	-14.11	4	2.40	0.00	1.50	1	muzzleRecovery	squad-26	4	bot-196
845	bot-248	bravo	P00r-4310	state+latches	-15.46	-1.17	186	1.63	0.23	2.28	1	muzzleRecovery	squad-27	4	bot-234
861	bot-245	bravo	P10r-R310	state+latches	-14.11	-1.16	88	4.69	0.15	7.88	1	muzzleRecovery	squad-27	6	bot-234
878	bot-245	bravo	C10r-R310	state	-14.17	-1.10	83	0.00	0.08	7.95	0	muzzleRecovery	squad-27	6	bot-234
895	bot-245	bravo	C10r-R312	latches	-14.14	-1.15	88	1.83	0.06	7.89	2	cover	squad-27	6	bot-234
945	bot-240	bravo	C00m-34B2	ammo	-20.66	-11.76	113	3.42	1.56	4.25	1	muzzleRecovery	squad-27	5	bot-234
