t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id
1847	bot-13	alpha	P00r-0410	initial	-24.45	7.05	0	0.00			0			-1		
1847	bot-13	alpha	P00r-4410	ammo	-24.45	7.05	0	0.00	0.00		0		squad-3	-1	bot-13	
1847	bot-14	bravo	P00r-0410	initial	1.55	22.55	0	0.00			0			-1		
1876	bot-14	bravo	P00r-4410	ammo	1.55	22.55	0	0.00	0.00		0		squad-4	0	bot-14	
2888	bot-13	alpha	P00r-4410	tick	-23.79	5.02	168	2.44	2.13		10	patrol	squad-3	0	bot-13	bot-14
2888	bot-14	bravo	P00r-4410	tick	0.51	20.42	195	1.05	2.37		7	patrol	squad-4	0	bot-14	bot-13
3905	bot-13	alpha	P00r-4410	tick	-22.27	2.94	130	2.44	2.58		9	patrol	squad-3	0	bot-13	bot-14
3905	bot-14	bravo	P00r-4410	tick	-0.27	18.58	227	2.04	2.00		7	patrol	squad-4	0	bot-14	bot-13
4908	bot-13	alpha	P00r-4410	tick	-20.36	2.19	86	1.92	2.05		9	patrol	squad-3	0	bot-13	bot-14
4908	bot-14	bravo	P00r-4410	tick	-1.09	16.61	203	2.43	2.13		7	patrol	squad-4	0	bot-14	bot-13
5918	bot-13	alpha	P00r-4410	tick	-18.47	1.57	108	1.74	1.99		9	patrol	squad-3	0	bot-13	bot-14
5918	bot-14	bravo	P00r-4410	tick	-1.90	15.28	159	0.33	1.56		7	patrol	squad-4	0	bot-14	bot-13
6872	bot-15	alpha	P00r-0410	initial	-19.95	1.55	0	0.00			0			-1		
6872	bot-16	bravo	P00r-0410	initial	-6.45	19.55	0	0.00			0			-1		
6885	bot-15	alpha	P00r-4410	ammo	-19.95	1.55	0	0.00	0.00		0		squad-3	1	bot-13	
6885	bot-16	bravo	P00r-4410	ammo	-6.45	19.55	0	0.00	0.00		0		squad-4	1	bot-14	
6926	bot-13	alpha	P00r-4410	tick	-16.70	1.69	80	1.80	1.78		8	patrol	squad-3	0	bot-13	bot-14
6926	bot-14	bravo	P00r-4410	tick	-2.45	14.21	243	1.29	1.20		6	patrol	squad-4	0	bot-14	bot-13
7233	bot-14	bravo	A00r-4410	state	-2.81	13.93	255	1.89	0.46		6	patrol	squad-4	0	bot-14	bot-13
7233	bot-16	bravo	S00r-4410	state	-6.10	18.79	88	2.29	0.84	8.66	4	squad	squad-4	1	bot-14	bot-13
7255	bot-13	alpha	A00r-4410	state	-16.11	1.85	70	1.96	0.61		8	patrol	squad-3	0	bot-13	bot-14
7255	bot-14	bravo	A00r-441G	latches	-2.81	13.92	250	0.29	0.01		0		squad-4	0	bot-14	bot-13
7255	bot-15	alpha	S00r-4410	state	-20.26	2.06	352	1.25	0.60	1.28	1	squad	squad-3	1	bot-13	bot-14
7283	bot-13	alpha	A00r-441G	latches	-16.11	1.85	65	0.00	0.00		0		squad-3	0	bot-13	bot-14
7496	bot-14	bravo	S00r-4410	state+latches	-2.81	13.92	250	0.00	0.00		0		squad-4	0	bot-14	bot-13
7528	bot-13	alpha	S00r-4410	state+latches	-16.12	1.84	65	0.00	0.01		0		squad-3	0	bot-13	bot-14
7798	bot-14	bravo	A00r-4410	state	-3.16	13.85	236	2.09	0.36	16.63	6	seek	squad-4	0	bot-14	bot-13
7816	bot-13	alpha	A00r-4410	state	-15.75	1.97	55	2.08	0.39	18.60	4	seek	squad-3	0	bot-13	bot-14
7839	bot-14	bravo	A00r-441G	latches	-3.16	13.85	228	0.00	0.00		0		squad-4	0	bot-14	bot-13
7865	bot-13	alpha	A00r-441G	latches	-15.75	1.97	47	0.06	0.00		0		squad-3	0	bot-13	bot-14
8075	bot-14	bravo	S00r-4410	state+latches	-3.15	13.82	228	0.00	0.03		0		squad-4	0	bot-14	bot-13
8107	bot-13	alpha	S00r-4410	state+latches	-15.75	1.97	47	0.00	0.00		0		squad-3	0	bot-13	bot-14
8242	bot-16	bravo	S00r-4410	tick	-6.06	16.46	214	2.54	2.34	17.48	3	seek	squad-4	1	bot-14	bot-13
8258	bot-14	bravo	A00r-4410	state	-3.37	13.77	236	1.34	0.23	15.72	6	seek	squad-4	0	bot-14	bot-13
8258	bot-15	alpha	S00r-4410	tick	-18.53	1.67	57	1.62	1.77	17.34	3	seek	squad-3	1	bot-13	bot-14
8280	bot-13	alpha	A00r-4410	state	-15.54	2.04	56	1.28	0.22	18.10	4	seek	squad-3	0	bot-13	bot-14
8443	bot-13	alpha	F00r-4410	state	-15.54	2.04	46	0.02	0.01		0		squad-3	0	bot-13	bot-14
8443	bot-14	bravo	A00r-4310	health	-3.37	13.77	226	0.00	0.01		0		squad-4	0	bot-14	bot-13
8443	bot-16	bravo	S21r-4410	tier+score	-6.05	15.93	211	2.63	0.53	17.05	3	seek	squad-4	1	bot-14	bot-13
8466	bot-13	alpha	A00r-4410	state	-15.54	2.04	46	0.01	0.00		0		squad-3	0	bot-13	bot-14
8466	bot-14	bravo	A21r-4310	tier+score	-3.37	13.77	226	0.00	0.00		0		squad-4	0	bot-14	bot-13
8558	bot-13	alpha	F00r-4410	state	-15.54	2.04	46	0.00	0.00		0		squad-3	0	bot-13	bot-14
8558	bot-14	bravo	E32r-4210	state+tier+score+health	-3.37	13.77	226	0.00	0.00		0		squad-4	0	bot-14	bot-13
8558	bot-16	bravo	S32r-4410	tier+score	-6.04	15.61	181	2.71	0.32	16.80	3	seek	squad-4	1	bot-14	bot-13
8585	bot-13	alpha	A00r-4410	state	-15.54	2.04	46	0.00	0.00		0		squad-3	0	bot-13	bot-14
8585	bot-14	bravo	E32r-4219	latches	-3.32	13.78	226	1.21	0.05	6.14	2	flee	squad-4	0	bot-14	bot-13
8680	bot-13	alpha	F00r-4410	state	-15.54	2.04	46	0.00	0.00		0		squad-3	0	bot-13	bot-14
8680	bot-14	bravo	E33r-4119	score+health	-3.21	13.84	226	1.39	0.12	6.03	2	flee	squad-4	0	bot-14	bot-13
8680	bot-16	bravo	S33r-4410	score	-6.03	15.26	179	3.51	0.35	16.52	3	seek	squad-4	1	bot-14	bot-13
8712	bot-13	alpha	A00r-4410	state	-15.54	2.04	46	0.00	0.00		0		squad-3	0	bot-13	bot-14
8806	bot-13	alpha	F00r-4410	state	-15.54	2.04	46	0.00	0.00		0		squad-3	0	bot-13	bot-14
8806	bot-14	bravo	E34r-4019	score+health	-2.94	13.98	226	5.11	0.31	5.74	2	flee	squad-4	0	bot-14	bot-13
8806	bot-16	bravo	S34r-4410	score	-6.01	14.90	179	2.76	0.36	16.24	3	seek	squad-4	1	bot-14	bot-13
8828	bot-13	alpha	A00r-4410	state	-15.54	2.04	46	0.00	0.00		0		squad-3	0	bot-13	bot-14
8929	bot-13	alpha	F00r-4410	state	-15.54	2.04	47	0.00	0.00		0		squad-3	0	bot-13	bot-14
8929	bot-13	alpha	P00r-4410	state	-15.54	2.04	47	0.00	0.00		0		squad-3	0	bot-13	
8929	bot-14	bravo	D00r--000	state+tier+score+ammo+packs+latches	-2.44	14.27	227	0.00	0.57	5.22	2	flee	squad-4	0	bot-14	bot-13
