t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate
0	bot-1	alpha	A00r-441G	initial	-13.93	-23.46	10	3.99		4.94	1	grenade	squad-1	0	bot-1	bot-2	30.12	w
0	bot-2	bravo	A33r-441G	initial	-11.60	6.61	157	4.10		5.30	1	grenade	squad-2	0	bot-2	bot-3	25.07	w
0	bot-3	alpha	A00r-441G	initial	-13.75	-18.43	10	3.99		5.53	1	grenade	squad-1	1	bot-1	bot-2	25.11	w
0	bot-4	bravo	E00r-4110	initial	-7.82	13.17	155	4.13		5.06	1	grenade	squad-2	1	bot-2	bot-3	32.12	w
111	bot-4	bravo	E00r-4119	latches	-7.43	13.60	132	6.12	0.59	5.63	1	flee	squad-2	1	bot-2	bot-3	32.79	w
153	bot-1	alpha	S00r-4410	state+latches	-13.48	-23.86	50	3.76	0.60	4.34	1	grenade	squad-1	0	bot-1	bot-2	30.95	w
171	bot-3	alpha	S00r-4410	state+latches	-13.27	-18.89	53	4.05	0.66	4.87	1	grenade	squad-1	1	bot-1	bot-2	26.02	w
192	bot-2	bravo	S33r-4410	state+latches	-11.05	7.12	110	4.02	0.75	4.55	1	grenade	squad-2	0	bot-2	bot-3	26.05	w
581	bot-4	bravo	E00r-4110	latches	-5.88	15.82	122	4.10	2.70	5.70	1	grenade	squad-2	1	bot-2	bot-3	36.56	w
692	bot-5	alpha	P00r-0410	initial	-14.75	-20.75	0	0.00			0			-1				-
692	bot-6	bravo	P00r-0410	initial	-3.75	5.25	0	0.00			0			-1				-
713	bot-5	alpha	S00r-4410	state+ammo	-14.75	-20.75	0	0.00	0.00		0		squad-1	2	bot-1			-
713	bot-6	bravo	C33r-4410	state+tier+score+ammo	-3.75	5.25	0	0.00	0.00		0		squad-2	2	bot-2			-
740	bot-6	bravo	C33r-4412	latches	-3.73	5.21	12	2.09	0.04	4.68	1	grenade	squad-2	2	bot-2			-
1170	bot-1	alpha	S00r-4410	tick	-11.73	-25.69	109	4.13	2.54	4.12	1	grenade	squad-1	0	bot-1	bot-2	35.79	w
1186	bot-3	alpha	S00r-4410	tick	-10.36	-21.79	119	4.09	4.11	2.99	1	grenade	squad-1	1	bot-1	bot-2	31.91	w
1203	bot-2	bravo	S33r-4410	tick	-8.35	10.14	41	4.56	4.05	4.76	1	grenade	squad-2	0	bot-2	bot-3	31.94	w
1489	bot-2	bravo	S32r-4410	score	-7.64	10.96	41	2.94	1.09	3.67	1	grenade	squad-2	0	bot-2	bot-3	33.25	w
1489	bot-6	bravo	C32r-4412	score	-1.59	4.42	103	4.20	2.28	2.92	1	grenade	squad-2	2	bot-2			-
1586	bot-4	bravo	E00r-4110	tick	-3.43	18.27	42	3.79	3.46	4.72	1	grenade	squad-2	1	bot-2	bot-3	41.08	w
1624	bot-2	bravo	S00r-4410	tier+score	-7.41	11.25	38	2.73	0.37	5.10	1	grenade	squad-2	0	bot-2	bot-3	33.75	w
1624	bot-6	bravo	C21r-4412	tier+score	-1.03	4.51	77	4.19	0.57	3.36	1	grenade	squad-2	2	bot-2			-
1720	bot-5	alpha	S00r-4410	tick	-16.74	-23.20	218	4.35	3.16	3.25	1	grenade	squad-1	2	bot-1			-
1720	bot-6	bravo	C00r-4412	tier+score	-0.67	4.61	78	3.53	0.38	2.99	1	grenade	squad-2	2	bot-2			-
