t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve
164884	bot-188	bravo	S00m-43D0	tick	-21.48	-12.51	218	2.18	2.00	15.66	3	seek		-1				-	0	20	51
164942	bot-234	bravo	P00r-4320	tick	-22.62	-33.23	259	2.06	2.33	10.63	2	patrolReentry		-1				-	0	27	120
164942	bot-258	alpha	S00m-2420	state+latches	7.15	-6.04	340	0.10	0.08		0			-1		bot-252	17.95	w	0	3	35
164979	bot-99	bravo	P00m-3310	tick	-14.75	-9.18	203	2.47	2.29		4	patrolReentry		-1				-	0	15	101
164979	bot-260	bravo	C21r-4412	tick	-2.30	9.11	226	4.14	3.61	5.52	1	grenade		-1		bot-258	18.02	w	0	1	29
165055	bot-235	alpha	A00r-4200	state	-28.18	-24.10	103	0.00	0.01		0			-1				-	0	30	120
165055	bot-252	bravo	A21r-4410	state	-4.40	7.55	225	4.28	1.84	5.41	1	grenade		-1				-	0	30	97
165093	bot-113	bravo	C00r-4422	tier+score	-1.25	8.00	227	4.14	2.04	5.48	1	grenade		-1				-	0	18	85
165093	bot-180	bravo	S00r-4310	tier+score	-5.81	14.83	315	3.60	1.85	5.56	1	grenade		-1				-	0	1	24
165093	bot-224	bravo	S00m-4320	tier+score	-5.48	3.96	225	3.34	2.00	5.29	1	grenade		-1				-	0	20	87
165093	bot-242	bravo	S00r-3320	tier+score	-4.15	8.94	224	4.35	2.07	5.16	1	grenade		-1				-	0	17	120
165093	bot-252	bravo	A00r-4410	tier+score	-4.63	7.32	225	4.16	0.33	5.08	1	grenade		-1		bot-235	39.63	y	0	30	97
165093	bot-260	bravo	C00r-4412	tier+score	-2.64	8.78	226	4.11	0.47	5.05	1	grenade		-1		bot-258	17.84	w	0	1	29
165127	bot-79	bravo	E00r-0321	tick	-27.29	12.00	259	0.00	3.22		0			-1		bot-256	10.13	y	0	0	0
165127	bot-79	bravo	E00r-0320	latches	-27.28	12.15	259	4.51	0.15	0.60	1	flee		-1		bot-256	10.13	y	0	0	0
165127	bot-135	alpha	P00r-4320	tick	25.53	28.26	212	2.34	2.29		13	patrol		-1				-	0	1	27
