t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve
331344	bot-880	bravo	P00r-3410	tier	54.47	15.11	64	2.47	0.95	77.11	12	squad	squad-98	4	bot-871			-	0	20	120	0	7	35
331416	bot-914	alpha	S00r-4410	ammo	-2.25	-19.02	280	2.44	1.32	29.97	5	seek	squad-94	0	bot-914	bot-897	25.33	w	0	30	120	0	30	120
331416	bot-918	alpha	P00r-0410	initial	-139.25	-29.25	0	0.00			0			-1				-	0			0		
331435	bot-918	alpha	P00r-4410	ammo	-139.25	-29.25	0	0.00	0.00		0		squad-65	0				-	0	30	120	0	7	35
331457	bot-875	bravo	S00m-4420	state	113.86	37.05	157	2.00	1.33	7.84	5	squad	squad-98	6	bot-871			-	0	20	101	0	7	35
331501	bot-859	alpha	P00r-4420	tick	-133.63	-26.25	256	1.63	0.37	25.39	4	squad	squad-92	4	bot-814			-	0	1	30	0	20	101
331501	bot-891	bravo	S00m-4420	tick	-17.90	-17.28	90	2.42	2.46	22.65	5	seek	squad-100	0	bot-891			-	0	20	101	0	7	35
331501	bot-893	bravo	S00r-4410	tick	-19.51	-17.53	95	2.45	2.47	29.39	6	seek	squad-100	1	bot-891			-	0	30	120	0	20	101
331501	bot-899	bravo	S00m-4320	state	-27.12	-22.06	63	2.40	2.20	8.17	2	squad	squad-100	4	bot-891			-	0	20	101	0	7	35
331567	bot-651	alpha	D00r--000	tick	-86.58	-36.41	37	0.00	0.00	8.83	0		squad-65	-1		bot-899	66.96	y	0	0	72	0	0	72
331567	bot-814	alpha	P00r-4320	tick	-139.23	-46.29	80	1.97	2.27		39	patrol	squad-92	0	bot-814			-	0	29	120	0	7	35
331567	bot-879	bravo	P00r-4410	tick	27.39	11.21	103	0.04	0.02	104.09	16	squad	squad-98	3	bot-871			-	0	30	120	0	20	101
331567	bot-895	bravo	S00r-4410	tick	-22.70	-18.75	82	2.44	2.27	23.64	5	seek	squad-100	2	bot-891			-	0	30	120	0	20	101
331567	bot-915	alpha	P00r-4410	tick	-142.32	-45.33	212	0.00	0.99		0		squad-92	1	bot-814			-	0	30	120	0	20	101
331670	bot-766	bravo	S00r-2320	tick	-46.00	-15.53	95	2.19	2.33	60.48	10	seek	squad-87	4	bot-781			-	0	3	0	0	3	0
