t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve	self_threat	sidearm_mag	sidearm_reserve	role_id
1562969	bot-1827	alpha	A00m-4420	state	20.33	-3.49	268	0.00	0.00		0		squad-374	4	bot-1825	bot-1831	25.53	y	0	17	101	0	7	35	medic
1563061	bot-1683	alpha	C33r-4422	latches	-4.58	22.50	355	3.20	0.32	5.25	1	grenade	squad-1	0	bot-1683			-	0	30	97	0	30	97	technical
1563061	bot-1685	alpha	S21r-2320	tier+score	2.71	24.04	313	5.79	2.38	4.01	1	grenade	squad-1	1	bot-1683	bot-1810	29.26	w	0	15	78	0	20	101	rifleman
1563061	bot-1751	alpha	C33m-23B2	latches	-2.58	22.98	316	5.21	0.51	4.55	1	grenade	squad-1	5	bot-1683			-	0	8	81	0	4	28	medic
1563061	bot-1767	alpha	E35m-12D9	latches	-6.64	12.54	176	7.05	0.68	5.28	1	flee	squad-372	3	bot-1765	bot-1831	17.13	y	0	5	101	0	7	35	medic
1563061	bot-1827	alpha	F00m-4420	state	20.33	-3.49	268	0.00	0.00		0		squad-374	4	bot-1825	bot-1831	25.77	y	0	17	101	0	7	35	medic
1563159	bot-1683	alpha	C45rb4422	tier+score+element	-4.70	22.62	342	3.30	0.17	5.08	1	grenade	squad-1	0	bot-1683			-	0	30	97	0	30	97	technical
1563159	bot-1747	alpha	P00r-440G	state+latches	-10.12	-15.73	21	5.75	2.23	0.13	1	muzzleRecovery	squad-1	3	bot-1683	bot-1831	11.61	y	0	26	120	0	26	120	technical
1563159	bot-1810	bravo	E49rb2120	latches	26.75	6.27	189	7.14	1.79	4.52	1	flee	squad-371	0	bot-1810	bot-1832	9.96	y	0	8	120	0	7	35	rifleman
1563159	bot-1822	bravo	E49rm4019	tick	22.82	6.41	189	7.14	3.73	0.99	1	flee	squad-371	3	bot-1810			-	2	29	120	0	7	35	rifleman
1563159	bot-1827	alpha	P00m-442G	state+latches	20.33	-3.49	267	1.35	0.00		1	muzzleRecovery	squad-374	4	bot-1825	bot-1831	26.01	y	0	16	101	0	7	35	medic
1563271	bot-1747	alpha	P00r-4400	latches	-9.55	-15.74	47	5.76	0.58	0.70	1	muzzleRecovery	squad-1	3	bot-1683	bot-1831	10.99	y	0	26	120	0	26	120	technical
1563271	bot-1807	alpha	M00m-33E0	tick	5.11	-21.42	48	0.00	0.00	0.41	0	medic	squad-378	0	bot-1807			-	0	15	101	0	7	35	medic
1563271	bot-1810	bravo	E49rm1129	element+ammo+latches	26.75	5.91	189	7.14	0.36	4.16	1	flee	squad-371	0	bot-1810	bot-1832	9.36	y	0	7	120	0	7	35	rifleman
1563271	bot-1811	alpha	S00r-4410	tick	9.99	-20.76	90	1.17	0.59	12.52	3	seek	squad-378	1	bot-1807			-	0	1	4	0	30	120	technical
1563271	bot-1813	alpha	S00r-4320	tick	3.58	-6.56	44	2.42	1.22	14.51	2	seek	squad-378	2	bot-1807			-	0	23	120	0	20	101	rifleman
1563271	bot-1816	bravo	H49rm4110	state	23.99	11.54	168	0.00	0.00		0		squad-371	1	bot-1810			-	2	1	3	0	30	120	technical
1563271	bot-1821	alpha	S00r-4420	tick	11.58	-20.83	74	1.29	0.64	12.28	3	seek	squad-378	5	bot-1807			-	0	1	29	0	20	101	sniper
1563271	bot-1825	alpha	F00r-4410	state	21.07	-2.66	265	0.00	0.00		0		squad-374	0	bot-1825	bot-1831	27.04	y	0	27	120	0	20	101	rifleman
1563271	bot-1831	bravo	E10m-4129	health	-6.30	-5.71	359	7.19	1.79	3.91	1	muzzleRecovery	squad-2	0		bot-1767	18.60	y	0	16	101	0	7	35	medic
1563395	bot-1747	alpha	C00r-4400	state	-9.55	-15.74	47	0.00	0.00	0.70	0	muzzleRecovery	squad-1	3	bot-1683	bot-1831	10.99	y	0	26	120	0	26	120	technical
1563395	bot-1765	alpha	P00r-2320	state+latches	-14.01	-8.10	71	1.32	0.27	6.32	1	muzzleRecovery	squad-372	0	bot-1765	bot-1831	8.31	y	0	10	120	0	20	101	rifleman
1563395	bot-1811	alpha	P00r-4410	state	9.99	-20.76	90	1.17	0.00	12.52	3	seek	squad-378	1	bot-1807			-	0	1	4	0	30	120	technical
