t_ms	bot_id	team	code	changed_slots	x	z	yaw_deg	speed	moved	goal_dist	path_len	path_mode	squad_id	squad_rank	leader_id	target_id	target_dist	vis_gate	nav_region	mag	reserve
23392	bot-1	alpha	P00r-4410	initial	-8.29	-28.75	356	2.40		25.36	4	patrol		-1				-	0	7	35
28394	bot-1	alpha	P00r-4410	tick	-8.53	-28.75	330	2.40	0.24		0			-1				-	0	7	35
28394	bot-2	bravo	P00r-4410	initial	22.59	31.57	334	2.40		85.56	10	patrol		-1				-	0	7	35
30095	bot-1	alpha	P00r-4410	tick	-7.31	-28.75	92	2.40	1.22	40.81	6	patrol		-1				-	0	7	35
30095	bot-2	bravo	P00r-4410	tick	21.79	30.65	203	2.40	1.22	84.33	10	patrol		-1				-	0	7	35
31108	bot-1	alpha	P00r-4410	tick	-4.88	-28.75	63	2.40	2.43	38.39	6	patrol		-1				-	0	7	35
31108	bot-2	bravo	P00r-4410	tick	20.19	28.82	220	2.40	2.43	81.90	10	patrol		-1				-	0	7	35
32127	bot-1	alpha	P00r-4410	tick	-2.43	-28.75	95	2.40	2.44	35.96	6	patrol		-1				-	0	7	35
32127	bot-2	bravo	P00r-4410	tick	18.58	26.98	247	2.40	2.44	79.46	10	patrol		-1				-	0	7	35
33128	bot-1	alpha	P00r-4410	tick	-0.03	-28.75	110	2.40	2.40	33.58	5	patrol		-1				-	0	7	35
33128	bot-2	bravo	P00r-4410	tick	16.99	25.17	215	2.40	2.40	77.06	10	patrol		-1				-	0	7	35
34141	bot-1	alpha	P00r-4410	tick	2.40	-28.75	78	2.40	2.43	31.17	5	patrol		-1				-	0	7	35
34141	bot-2	bravo	P00r-4410	tick	15.70	23.17	179	2.40	2.39	74.69	9	patrol		-1				-	0	7	35
35141	bot-1	alpha	P00r-4410	tick	4.81	-28.75	76	2.40	2.40	28.80	5	patrol		-1				-	0	7	35
35141	bot-2	bravo	P00r-4410	tick	14.94	20.89	211	2.40	2.40	72.48	9	patrol		-1				-	0	7	35
36142	bot-1	alpha	P00r-4410	tick	7.21	-28.75	108	2.40	2.40	26.43	4	patrol		-1				-	0	7	35
36142	bot-2	bravo	P00r-4410	tick	14.19	18.61	211	2.40	2.40	70.28	9	patrol		-1				-	0	7	35
37142	bot-1	alpha	P00r-4410	tick	9.61	-28.75	97	2.40	2.40	24.07	4	patrol		-1				-	0	7	35
37142	bot-2	bravo	P00r-4410	tick	13.44	16.33	179	2.40	2.40	68.10	9	patrol		-1				-	0	7	35
38145	bot-1	alpha	P00r-4410	tick	12.01	-28.75	65	2.40	2.41	21.71	4	patrol		-1				-	0	7	35
38145	bot-2	bravo	P00r-4410	tick	11.86	14.54	218	2.40	2.38	65.72	8	patrol		-1				-	0	7	35
39158	bot-1	alpha	P00r-4410	tick	14.44	-28.75	90	2.40	2.43	19.34	4	patrol		-1				-	0	7	35
39158	bot-2	bravo	P00r-4410	tick	10.17	12.80	250	2.40	2.43	63.29	8	patrol		-1				-	0	7	35
40174	bot-1	alpha	P00r-4410	tick	16.88	-28.75	115	2.40	2.44	16.97	3	patrol		-1				-	0	7	35
40174	bot-2	bravo	P00r-4410	tick	8.46	11.05	223	2.40	2.44	60.85	8	patrol		-1				-	0	7	35
41178	bot-1	alpha	P00r-4410	tick	19.29	-28.75	83	2.40	2.41	14.66	3	patrol		-1				-	0	7	35
41178	bot-2	bravo	P00r-4410	tick	6.78	9.33	200	2.40	2.41	58.44	8	patrol		-1				-	0	7	35
42192	bot-1	alpha	P00r-4410	tick	21.72	-28.75	72	2.40	2.43	12.37	3	patrol		-1				-	0	7	35
42192	bot-2	bravo	P00r-4410	tick	5.08	7.59	233	2.40	2.43	56.01	7	patrol		-1				-	0	7	35
43192	bot-1	alpha	P00r-4410	tick	24.03	-29.21	126	2.40	2.35	10.07	2	patrol		-1				-	0	7	35
43192	bot-2	bravo	P00r-4410	tick	3.39	5.89	243	2.40	2.40	53.61	7	patrol		-1				-	0	7	35
44209	bot-1	alpha	P00r-4410	tick	26.28	-30.16	124	2.40	2.44	7.62	2	patrol		-1				-	0	7	35
44209	bot-2	bravo	P00r-4410	tick	1.66	4.16	210	2.40	2.44	51.17	7	patrol		-1				-	0	7	35
44524	bot-2	bravo	A00r-4410	state	1.18	3.68	195	0.00	0.68		0			-1		bot-1	42.72	y	0	7	35
44543	bot-2	bravo	A00r-441G	latches	1.18	3.68	195	0.00	0.00		0			-1		bot-1	42.79	w	0	7	35
44777	bot-2	bravo	S00r-4410	state+latches	1.19	3.66	191	1.32	0.02	42.46	5	seek		-1		bot-1	43.28	w	0	7	35
44924	bot-2	bravo	A00r-4410	state	1.28	3.52	161	0.00	0.17		0			-1		bot-1	43.39	y	0	7	35
45224	bot-1	alpha	P00r-4410	tick	28.53	-31.10	92	2.40	2.44	5.19	2	patrol		-1				-	0	7	35
45308	bot-2	bravo	A00r-441G	latches	1.28	3.52	142	0.00	0.00		0			-1		bot-1	44.20	w	0	7	35
45557	bot-2	bravo	S00r-4410	state+latches	1.30	3.50	142	1.32	0.02	44.29	5	seek		-1		bot-1	44.72	w	0	7	35
46241	bot-1	alpha	P00r-4410	tick	30.78	-32.05	109	2.40	2.44	2.75	2	patrol		-1				-	0	7	35
