t,fps,calls,triangles,geometries,textures,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,0,0,0,0,0,1,25,24,0,0,4.4
1.01,68.6,62,127050,74,7,25,25,0,22,17,4.4
2.01,75.1,63,130332,75,7,25,25,0,25,17,4.4
3.01,75.1,63,130332,75,7,25,25,0,25,17,4.4
4.01,76.4,68,559276,96,7,25,25,0,25,300,4.4
5.02,76,73,1126996,93,7,25,25,0,25,300,4.4
6.03,73.5,83,1707332,94,7,25,25,0,25,300,4.4
7.04,39.3,83,2238842,94,7,25,25,0,25,300,4.4
8.05,74.9,83,2491481,88,7,25,25,0,25,300,4.4
9.05,75,83,2491481,88,7,25,25,0,25,300,4.4
10.05,74.9,83,2491481,88,7,25,25,0,25,300,4.4
11.05,75.1,83,2491481,88,7,25,25,0,25,300,4.4
12.05,74.9,83,2491481,88,7,25,25,0,25,300,4.4
13.05,75.1,83,2491481,88,7,25,25,0,25,300,4.4
14.05,75,83,2491481,88,7,25,25,0,25,300,4.4
15.05,74.9,83,2491481,88,7,25,25,0,25,300,4.4
16.05,74.8,83,2491481,88,7,25,25,0,25,300,4.4
17.05,74.9,83,2491481,88,7,25,25,0,25,300,4.4
18.05,75,83,2491481,92,7,25,25,0,25,300,4.4
19.06,74.8,83,2491481,92,7,25,25,0,25,300,4.4
20.06,75,83,2491481,92,7,25,25,0,25,300,4.4
21.06,75,83,2491481,96,7,25,25,0,25,300,4.4
22.06,75,83,2491481,96,7,25,25,0,25,300,4.4
23.06,75,83,2491481,96,7,25,25,0,25,300,4.4
24.09,46.2,73,2163904,135,7,25,25,0,25,300,16.7
25.1,76.3,72,2403369,134,7,25,25,0,25,300,16.7
26.1,75.3,67,2261772,143,7,25,25,0,25,300,14.5
27.1,57.3,66,2036932,141,7,25,25,0,25,300,18.1
28.11,80.6,58,1791244,138,7,25,25,0,25,300,14.3
29.11,73.6,49,1553174,142,7,25,25,0,25,300,15
30.14,65.2,61,1866757,139,7,25,25,0,23,300,12.2
31.15,75.7,61,1929700,146,7,25,25,0,25,300,12.8
32.15,77.5,81,2423328,146,7,25,25,0,25,300,13.3
33.15,74.9,43,988499,161,7,23,25,2,25,300,13.3
34.17,30.3,27,726395,126,7,25,25,0,24,300,13.3
35.18,75.1,48,1431737,121,7,25,25,0,25,300,13.3
36.19,72.1,63,1885913,115,7,25,25,0,25,300,13.3
37.2,77.1,83,2491481,109,7,25,25,0,25,300,13.3
38.2,62.8,83,2491481,98,7,25,25,0,25,300,13.3
39.21,74.9,83,2491481,92,7,25,25,0,25,300,13.3
40.21,74.9,83,2491481,92,7,25,25,0,25,300,13.3
41.21,74.9,83,2491481,92,7,25,25,0,25,300,13.3
42.22,75,83,2491481,92,7,25,25,0,25,300,13.3
43.22,75.1,83,2491481,92,7,25,25,0,25,300,13.3
44.23,75.1,83,2491481,92,7,25,25,0,25,300,13.3
45.23,75.1,83,2491481,92,7,25,25,0,25,300,13.3
46.23,74.9,83,2491481,92,7,25,25,0,25,300,13.3
47.23,74.9,83,2491481,92,7,25,25,0,25,300,13.3
48.23,75,83,2491481,92,7,25,25,0,25,300,13.3
49.24,63.4,131,3174760,230,7,83,169,86,25,300,17.1
50.24,73.5,145,2970590,313,7,153,169,16,25,300,19.1
51.27,34.2,170,2382285,624,7,169,169,0,27,301,19.3
52.3,29,226,2452561,657,7,169,169,0,56,301,19.3
53.32,27.6,235,1949888,658,7,167,169,2,84,301,19.6
54.33,24.8,245,1739117,680,7,168,169,1,110,301,20.5
55.33,29.5,250,1721760,691,7,155,169,14,139,300,12.1
56.35,30.5,231,1249903,743,7,169,169,0,152,300,20.5
57.36,31,247,1234691,791,7,169,169,0,168,301,15.9
58.4,32.5,288,1422917,824,7,169,169,0,166,297,16.3
59.43,29.9,269,1267876,833,7,169,169,0,169,296,15.8
60.45,29.1,296,1375698,852,7,164,169,5,169,296,15.7
61.47,29.8,292,1403489,858,7,159,169,10,169,294,16.6
62.49,32.8,319,1480837,881,7,169,169,0,169,294,16.8
63.53,29.8,303,1465451,875,7,169,169,0,169,296,18
64.53,31.5,333,1575895,868,7,169,169,0,162,298,16.3
65.56,26.6,351,1693984,880,7,169,169,0,169,298,16.9
66.59,28.1,364,1757416,854,7,169,169,0,169,298,16.9
67.6,35.2,374,1795264,842,7,169,169,0,169,298,16.9
68.61,38.7,374,1795264,842,7,169,169,0,169,298,16.9
69.63,36.2,362,1726577,875,7,169,169,0,169,298,16.9
70.64,37.9,379,1807766,875,7,169,169,0,169,298,16.9
71.64,41.9,368,1749412,875,7,169,169,0,169,298,16.9
72.65,38.9,363,1702212,887,7,169,169,0,169,298,16.9
73.67,38.5,369,1711250,892,7,169,169,0,169,297,14
74.7,28,404,1945044,910,7,169,169,0,169,297,14.1
75.71,34,356,1736111,908,7,169,169,0,169,297,14.1
76.74,25,359,1742137,923,7,169,169,0,168,294,16.8
77.75,30.7,338,1616199,933,7,169,169,0,159,294,16.8
78.75,28.7,331,1582695,940,7,162,169,7,169,294,16.8
79.75,30,321,1572240,928,7,169,169,0,161,295,14.2
80.78,29.7,325,1598227,936,7,169,169,0,169,298,13.1
81.8,32.6,314,1526898,932,7,169,169,0,160,300,14.3
82.81,30.5,327,1609301,940,7,169,169,0,169,300,13.3
83.84,31.1,324,1656615,930,7,169,169,0,169,303,13.4
84.85,31.3,330,1634952,934,7,169,169,0,159,308,13.8
85.85,31.6,343,1724190,944,7,163,169,6,169,308,16.4
86.86,29.1,345,1815992,955,7,169,169,0,169,311,15.9
87.87,33.9,330,1620261,957,7,169,169,0,169,310,15.8
88.89,36.4,312,1475313,945,7,169,169,0,146,306,19
89.9,35.4,274,1343168,918,7,159,169,10,169,306,15.9
90.93,30.8,285,1503311,935,7,169,169,0,165,306,16.8
91.95,31.8,331,1677247,923,7,169,169,0,166,307,18.1
92.97,28.2,354,1734323,933,7,169,169,0,169,307,18.1
94,36.2,337,1632542,926,7,169,169,0,169,307,18.1
95,39.4,311,1476118,944,7,164,169,5,169,307,17
96.01,32.5,296,1439846,919,7,159,169,10,169,310,13.9
97.02,34.8,291,1437150,892,7,169,169,0,169,307,15.1
98.05,34.4,319,1567354,902,7,169,169,0,169,307,14.4
99.05,40.8,332,1655485,910,7,169,169,0,169,307,14.4
100.06,73.5,15,13758,752,7,23,169,146,169,310,14.5
101.06,74.9,37,37034,839,7,98,169,71,169,310,14.5
102.17,63.5,59,72305,864,7,169,169,0,2,301,14.5
103.19,27.4,67,143240,853,7,169,169,0,20,301,14.5
104.23,24.7,75,252491,810,7,169,169,0,46,301,14.5
105.23,23.5,82,313325,774,7,169,169,0,70,301,14.5
106.26,22.9,99,433334,756,7,169,169,0,94,301,14.5
107.29,20.7,127,595950,756,7,169,169,0,115,301,14.5
108.33,21.4,134,693831,758,7,169,169,0,138,301,14.5
109.37,21.4,177,928084,751,7,169,169,0,160,301,14.5
110.43,20.4,215,1130062,736,7,169,169,0,169,301,14.5
111.44,18.6,250,1268838,727,7,169,169,0,169,301,14.5
112.45,20.9,280,1407614,710,7,169,169,0,169,301,14.5
113.45,19.7,310,1521158,692,7,169,169,0,169,301,14.5
114.46,20.5,330,1622086,674,7,169,169,0,169,301,14.5
115.49,19.2,360,1760862,658,7,169,169,0,169,301,14.5
116.49,21.9,375,1823942,635,7,169,169,0,169,301,14.5
117.5,24.3,375,1823942,598,7,169,169,0,169,301,14.5
118.51,24.7,375,1823942,556,7,169,169,0,169,301,14.5
