t,fps,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,0,0,0,0,0,instanced,1,25,24,0,0,4.7
1,72.1,16,57044,77,8,instanced,25,25,0,4,17,4.7
2.01,75,50,141970,62,8,instanced,25,25,0,25,17,4.7
3.01,74.9,50,141970,62,8,instanced,25,25,0,25,17,4.7
4.01,75,50,141970,62,8,instanced,25,25,0,25,17,4.7
5.01,75,50,141970,86,8,instanced,25,25,0,25,298,4.7
6.01,78.2,55,570914,86,8,instanced,25,25,0,25,300,4.7
7.01,75,60,999858,83,8,instanced,25,25,0,25,300,4.7
8.01,75.5,65,1151250,86,8,instanced,25,25,0,25,300,4.7
9.01,76.6,65,1151250,86,8,instanced,25,25,0,25,300,4.7
10.01,76.4,70,1441418,86,8,instanced,25,25,0,25,300,4.7
11.02,75.6,70,1718970,86,8,instanced,25,25,0,25,300,4.7
12.02,72.4,70,1718970,86,8,instanced,25,25,0,25,300,4.7
13.03,75.1,70,1718970,85,9,instanced,25,25,0,25,300,4.7
14.03,75.1,70,1718970,85,9,instanced,25,25,0,25,300,4.7
15.03,75,70,1718970,84,9,instanced,25,25,0,25,300,4.7
16.03,75.4,90,2324538,94,9,instanced,25,25,0,25,300,4.7
17.04,75,90,2324538,90,9,instanced,25,25,0,25,300,4.7
18.04,75.4,90,2324538,90,9,instanced,25,25,0,25,300,4.7
19.05,74.8,90,2324538,90,9,instanced,25,25,0,25,300,4.7
20.06,90.9,90,2324538,90,9,instanced,25,25,0,25,300,4.7
21.06,75.1,90,2324538,90,9,instanced,25,25,0,25,300,4.7
22.06,75,90,2324538,90,9,instanced,25,25,0,25,300,4.7
23.06,75.1,90,2324538,90,9,instanced,25,25,0,25,300,4.7
24.06,75.1,90,2324538,90,9,instanced,25,25,0,25,300,4.7
25.06,74.9,90,2324538,90,9,instanced,25,25,0,25,300,4.7
26.06,75,90,2324538,90,9,instanced,25,25,0,25,300,4.7
27.06,75.1,90,2324538,90,9,instanced,25,25,0,25,300,4.7
28.06,75.6,90,2603850,90,9,instanced,25,289,264,25,300,4.7
29.06,75,90,2603850,149,9,instanced,102,289,187,25,300,4.7
30.06,75,90,2680026,218,9,instanced,177,361,184,25,300,4.7
31.06,75,90,2680026,287,9,instanced,252,361,109,25,300,4.7
32.06,75,90,2680026,357,9,instanced,327,361,34,25,300,4.7
33.07,39.2,115,2454982,1188,9,instanced,361,361,0,25,300,4.7
34.12,20,140,2506416,1168,9,instanced,361,361,0,28,300,4.7
35.15,16.2,184,2605205,1158,9,instanced,361,361,0,42,300,4.7
36.21,16.1,234,2755938,1137,9,instanced,361,361,0,44,300,4.7
37.26,15.8,264,2854911,1107,9,instanced,361,361,0,44,300,4.7
38.26,15.8,305,2995371,1086,9,instanced,361,361,0,47,300,4.7
39.29,15.1,344,3104923,1069,9,instanced,361,361,0,62,300,4.7
40.3,16.3,374,3191865,1042,9,instanced,361,361,0,78,300,4.7
41.31,16,409,3289374,1017,9,instanced,361,361,0,94,300,4.7
42.32,16.2,412,3306336,981,9,instanced,361,361,0,110,300,4.7
43.34,17.9,416,3332505,932,9,instanced,361,361,0,128,300,4.7
44.38,18.5,420,3358326,879,9,instanced,361,361,0,147,300,4.7
45.41,21.6,424,3382596,823,9,instanced,361,361,0,167,300,4.7
46.43,22.6,432,3425460,765,9,instanced,361,361,0,189,300,4.7
47.46,24.1,436,3446310,697,9,instanced,361,361,0,213,300,4.7
48.46,29.6,443,3488280,668,9,instanced,361,361,0,240,300,4.7
49.48,31.1,449,3521076,674,9,instanced,361,361,0,271,300,4.7
50.5,31,459,3576792,685,9,instanced,361,361,0,302,300,4.7
51.53,31.3,467,3608643,693,9,instanced,361,361,0,333,300,4.7
52.78,27.7,708,4580424,1129,9,instanced,342,361,19,361,300,13.8
53.78,22.1,645,4261079,1167,9,instanced,361,361,0,361,300,14.4
54.81,21.7,634,4226381,1497,9,instanced,361,361,0,361,300,12.7
55.83,22.8,577,3713362,1497,9,instanced,361,361,0,361,300,12.7
56.86,24.4,560,3485796,1472,9,instanced,346,361,15,361,300,14.2
57.86,29.7,502,2937625,1487,9,instanced,361,361,0,358,297,14.6
58.88,29.9,481,2723892,1469,9,instanced,361,361,0,344,295,11.1
59.89,22.7,616,2854020,1527,9,instanced,361,361,0,361,295,14
60.91,23.8,621,2866636,1528,9,instanced,361,361,0,361,295,14
61.93,25.6,608,3280871,1528,9,instanced,361,361,0,361,295,14
62.96,27.9,548,2879994,1528,9,instanced,361,361,0,361,295,14
63.97,30.5,400,3422997,1506,9,instanced,350,361,11,361,295,14
66.72,28,477,3652431,1464,9,instanced,361,361,0,361,300,14
67.73,31.7,477,3652431,1464,9,instanced,361,361,0,361,300,14
68.73,23.8,702,4368968,1492,9,instanced,361,361,0,361,300,16.4
69.74,24.3,594,3583419,1557,9,instanced,343,361,18,361,300,14.6
70.75,25.8,510,2918857,1561,9,instanced,346,361,15,361,300,11.8
71.76,25.8,510,2501052,1528,9,instanced,324,361,38,361,303,17.7
72.76,27,497,2299475,1548,9,instanced,353,361,8,361,303,14.3
73.79,24.4,473,2096708,1457,9,instanced,342,361,19,343,300,13
74.81,27.3,486,1864384,1547,9,instanced,342,361,19,361,300,13.8
75.85,24.5,452,1748655,1479,9,instanced,324,361,37,344,300,14.2
76.87,28.3,416,1662566,1426,9,instanced,344,361,17,328,300,13.8
77.88,25,442,1722953,1446,9,instanced,361,361,0,334,304,12
78.9,25.6,439,1723530,1477,9,instanced,354,361,7,361,304,13.1
81.04,26.8,429,1706824,1492,9,instanced,344,361,17,357,303,11.8
82.07,24.6,509,1913357,1512,9,instanced,361,361,0,351,304,14.6
83.28,24.1,460,1791299,1512,9,instanced,361,361,0,348,302,10.9
84.28,24.4,490,1848938,1497,9,instanced,361,361,0,343,302,13.5
87.68,23,525,1982291,1546,9,instanced,350,361,11,361,308,14.9
88.7,23.9,506,1959010,1534,9,instanced,344,361,17,356,309,16
90.68,21.5,530,1997303,1581,9,instanced,357,361,4,361,310,14
91.7,21,546,2046215,1570,9,instanced,351,361,10,360,310,13.1
93.73,22.4,517,1974964,1555,9,instanced,361,361,0,349,309,12.9
94.76,21.8,549,2028240,1565,9,instanced,361,361,0,344,312,14.4
95.76,20.4,545,2037418,1586,9,instanced,356,361,5,361,312,14.1
96.77,25.3,543,2083417,1592,9,instanced,361,361,0,361,313,11.1
97.77,42.8,3,381942,1235,9,instanced,15,361,346,361,313,12.6
98.78,76.9,3,381942,1284,9,instanced,101,361,260,361,313,12.6
101.09,74.9,3,381942,1442,9,instanced,273,361,88,361,313,12.6
102.09,75.1,3,381942,1513,9,instanced,349,361,12,361,313,12.6
