t,fps,cpuMs,backend,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,39.3,25.528,webgl2,26457,0,1008,11,chunks,361,361,0,361,198,6.5
0.25,40.1,24.787,webgl2,26517,0,1008,11,chunks,361,361,0,361,198,6.5
0.51,38.5,25.869,webgl2,26577,0,1008,11,chunks,361,361,0,361,198,6.5
0.78,37.6,26.368,webgl2,26637,0,1008,11,chunks,361,361,0,361,198,6.5
1.04,38.4,25.752,webgl2,26697,0,1008,11,chunks,361,361,0,361,198,6.5
1.3,39,25.429,webgl2,26757,0,1008,11,chunks,361,361,0,361,198,6.5
1.58,37.3,26.59,webgl2,26817,0,1008,11,chunks,361,361,0,361,198,6.5
1.85,37,26.719,webgl2,26877,0,1008,11,chunks,361,361,0,361,198,6.5
2.12,36.8,26.876,webgl2,26937,0,1008,11,chunks,361,361,0,361,198,6.5
2.39,37,26.725,webgl2,26997,0,1008,11,chunks,361,361,0,361,198,6.5
2.65,35.9,27.53,webgl2,27051,0,1008,11,chunks,361,361,0,361,198,6.5
2.92,36.9,26.79,webgl2,27111,0,1008,11,chunks,361,361,0,361,198,6.5
3.19,36.5,27.075,webgl2,27171,0,1008,11,chunks,361,361,0,361,198,6.5
3.46,37,26.738,webgl2,27231,0,1008,11,chunks,361,361,0,361,198,6.5
3.72,38,26.133,webgl2,27291,0,1008,11,chunks,361,361,0,361,198,6.5
3.99,37.4,26.5,webgl2,27351,0,1008,11,chunks,361,361,0,361,198,6.5
4.26,37.5,26.318,webgl2,27411,0,1008,11,chunks,361,361,0,361,198,6.5
4.53,37,26.756,webgl2,27471,0,1008,11,chunks,361,361,0,361,198,6.5
4.8,36.9,26.966,webgl2,27531,0,1008,11,chunks,361,361,0,361,198,6.5
5.06,39,25.507,webgl2,27591,0,1008,11,chunks,361,361,0,361,198,6.5
5.33,39.4,25.225,webgl2,27657,0,1008,11,chunks,361,361,0,361,198,6.5
5.61,40.2,24.62,webgl2,27723,0,1008,11,chunks,361,361,0,361,198,6.5
5.87,38.4,25.844,webgl2,27783,0,1008,11,chunks,361,361,0,361,198,6.5
6.14,37.7,26.242,webgl2,27843,0,1008,11,chunks,361,361,0,361,198,6.5
6.41,38.1,25.939,webgl2,27903,0,1008,11,chunks,361,361,0,361,198,6.5
6.68,37.3,26.517,webgl2,27963,0,1008,11,chunks,361,361,0,361,198,6.5
6.95,37.2,26.616,webgl2,28023,0,1008,11,chunks,361,361,0,361,198,6.5
7.22,37.4,26.395,webgl2,28083,0,1008,11,chunks,361,361,0,361,198,6.5
7.48,37.9,26.057,webgl2,28143,0,1008,11,chunks,361,361,0,361,198,6.5
7.75,37.6,26.262,webgl2,28203,0,1008,11,chunks,361,361,0,361,198,6.5
8.01,41.3,24.074,webgl2,28269,0,1008,11,chunks,361,361,0,361,198,6.5
8.27,41.5,23.913,webgl2,28335,0,1008,11,chunks,361,361,0,361,198,6.5
8.54,40.4,24.563,webgl2,28401,0,1008,11,chunks,361,361,0,361,198,6.5
8.82,37.9,26.237,webgl2,28461,0,1008,11,chunks,361,361,0,361,198,6.5
9.07,38.9,25.495,webgl2,28521,0,1008,11,chunks,361,361,0,361,198,6.5
9.33,38.8,25.529,webgl2,28581,0,1008,11,chunks,361,361,0,361,198,6.5
9.61,36.4,27.446,webgl2,28641,0,1008,11,chunks,361,361,0,361,198,6.5
9.87,33.3,29.85,webgl2,28689,0,1008,11,chunks,361,361,0,361,198,6.5
10.14,34.4,28.751,webgl2,28743,0,1008,11,chunks,361,361,0,361,198,6.5
10.4,36.4,27.119,webgl2,28803,0,1008,11,chunks,361,361,0,361,198,6.5
10.68,36.5,27.044,webgl2,28863,0,1008,11,chunks,361,361,0,361,198,6.5
10.95,36.6,26.963,webgl2,28923,0,1008,11,chunks,361,361,0,361,198,6.5
11.21,37.2,26.484,webgl2,28983,0,1008,11,chunks,361,361,0,361,198,6.5
11.48,37.8,26.106,webgl2,29043,0,1008,11,chunks,361,361,0,361,198,6.5
