t,fps,cpuMs,backend,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,43.8,22.648,webgpu,43812,0,1341,11,chunks,361,361,0,361,192,3.9
0.26,42.8,23.083,webgpu,43878,0,1341,11,chunks,361,361,0,361,192,3.9
0.53,43.9,22.478,webgpu,43950,0,1341,11,chunks,361,361,0,361,192,3.9
0.79,46.2,21.302,webgpu,44022,0,1341,11,chunks,361,361,0,361,192,3.9
1.04,46.8,21.035,webgpu,44094,0,1341,11,chunks,361,361,0,361,192,3.9
1.31,45.6,21.874,webgpu,44166,0,1341,11,chunks,361,361,0,361,192,3.9
1.57,46.9,21.049,webgpu,44238,0,1341,11,chunks,361,361,0,361,192,3.9
1.84,48,20.545,webgpu,44316,0,1341,11,chunks,361,361,0,361,192,3.9
2.1,46.4,21.241,webgpu,44388,0,1341,11,chunks,361,361,0,361,192,3.9
2.35,47.6,20.696,webgpu,44460,0,1341,11,chunks,361,361,0,361,192,3.9
2.61,46.9,20.934,webgpu,44532,0,1341,11,chunks,361,361,0,361,192,3.9
2.86,47.6,20.687,webgpu,44604,0,1341,11,chunks,361,361,0,361,192,3.9
3.12,46.5,21.205,webgpu,44676,0,1341,11,chunks,361,361,0,361,192,3.9
3.38,45.9,21.526,webgpu,44748,0,1341,11,chunks,361,361,0,361,192,3.9
3.65,45.6,21.605,webgpu,44820,0,1341,11,chunks,361,361,0,361,192,3.9
3.91,46,21.412,webgpu,44892,0,1341,11,chunks,361,361,0,361,192,3.9
4.17,47.8,20.712,webgpu,44964,0,1341,11,chunks,361,361,0,361,192,3.9
4.44,48,20.545,webgpu,45042,0,1341,11,chunks,361,361,0,361,192,3.9
4.7,46.7,21.078,webgpu,45114,0,1341,11,chunks,361,361,0,361,192,3.9
4.95,47.4,20.819,webgpu,45186,0,1341,11,chunks,361,361,0,361,192,3.9
5.21,44.9,22.046,webgpu,45252,0,1341,11,chunks,361,361,0,361,192,3.9
5.46,47.1,20.935,webgpu,45324,0,1341,11,chunks,361,361,0,361,192,3.9
5.71,47.2,20.841,webgpu,45396,0,1341,11,chunks,361,361,0,361,192,3.9
5.97,46.6,21.131,webgpu,45468,0,1341,11,chunks,361,361,0,361,192,3.9
6.24,48.4,20.429,webgpu,45546,0,1341,11,chunks,361,361,0,361,192,3.9
6.49,46.9,20.99,webgpu,45618,0,1341,11,chunks,361,361,0,361,192,3.9
6.75,47,20.944,webgpu,45690,0,1341,11,chunks,361,361,0,361,192,3.9
7.01,46.7,21.149,webgpu,45762,0,1341,11,chunks,361,361,0,361,192,3.9
7.27,46.9,21.005,webgpu,45834,0,1341,11,chunks,361,361,0,361,192,3.9
7.52,46.8,21.024,webgpu,45906,0,1341,11,chunks,361,361,0,361,192,3.9
7.78,45.1,21.859,webgpu,45972,0,1341,11,chunks,361,361,0,361,192,3.9
8.04,44.7,22.032,webgpu,46044,0,1341,11,chunks,361,361,0,361,192,3.9
8.3,48.8,20.26,webgpu,46122,0,1341,11,chunks,361,361,0,361,192,3.9
8.57,48.6,20.347,webgpu,46200,0,1341,11,chunks,361,361,0,361,192,3.9
8.83,47.3,20.728,webgpu,46272,0,1341,11,chunks,361,361,0,361,192,3.9
9.08,48,20.33,webgpu,46344,0,1341,11,chunks,361,361,0,361,192,3.9
9.33,48.2,20.278,webgpu,46416,0,1341,11,chunks,361,361,0,361,192,3.9
9.6,46.6,21.014,webgpu,46488,0,1341,11,chunks,361,361,0,361,192,3.9
9.86,45.3,21.641,webgpu,46560,0,1341,11,chunks,361,361,0,361,192,3.9
10.12,46.1,21.213,webgpu,46632,0,1341,11,chunks,361,361,0,361,192,3.9
10.38,47,20.795,webgpu,46704,0,1341,11,chunks,361,361,0,361,192,3.9
10.64,46.3,21.126,webgpu,46776,0,1341,11,chunks,361,361,0,361,192,3.9
10.91,48.2,20.242,webgpu,46854,0,1342,11,chunks,361,361,0,361,192,3.9
11.53,38.5,74.844,webgpu,46872,0,1411,11,chunks,361,361,0,361,192,3.9
12.16,33.1,114.347,webgpu,46890,0,1476,11,chunks,361,361,0,361,192,3.9
12.73,30.8,159.972,webgpu,46896,0,1537,11,chunks,361,361,0,361,192,3.9
13,41,60.883,webgpu,46968,0,1537,11,chunks,361,361,0,361,192,3.9
13.27,43.6,33.031,webgpu,47040,0,1537,11,chunks,361,361,0,361,192,3.9
13.53,44.3,24.978,webgpu,47112,0,1537,11,chunks,361,361,0,361,192,3.9
13.89,34.4,49.107,webgpu,47136,0,1566,11,chunks,361,361,0,361,192,3.9
14.17,32,71.467,webgpu,47142,0,1602,11,chunks,361,361,0,361,192,3.9
14.44,31.2,74.591,webgpu,47160,0,1637,11,chunks,361,361,0,361,192,3.9
14.69,36.9,41.918,webgpu,47220,0,1637,11,chunks,361,361,0,361,192,3.9
14.96,43,27.383,webgpu,47292,0,1637,11,chunks,361,361,0,361,192,3.9
15.23,43.6,23.694,webgpu,47364,0,1637,11,chunks,361,361,0,361,192,3.9
15.49,42.7,23.356,webgpu,47430,0,1637,11,chunks,361,361,0,361,192,3.9
15.76,41.5,23.798,webgpu,47496,0,1637,11,chunks,361,361,0,361,192,3.9
16.03,36.5,27.69,webgpu,47550,0,1637,11,chunks,361,361,0,361,192,3.9
16.3,37.7,26.266,webgpu,47610,0,1637,11,chunks,361,361,0,361,192,3.9
16.56,38,26.018,webgpu,47670,0,1637,11,chunks,361,361,0,361,192,3.9
16.83,43.9,22.692,webgpu,47742,0,1637,11,chunks,361,361,0,361,192,3.9
17.09,44.7,22.231,webgpu,47814,0,1637,11,chunks,361,361,0,361,192,3.9
17.36,42.1,23.513,webgpu,47880,0,1637,11,chunks,361,361,0,361,192,3.9
17.62,41.4,24.048,webgpu,47940,0,1637,11,chunks,361,361,0,361,192,3.9
17.87,43.2,22.825,webgpu,48006,0,1637,11,chunks,361,361,0,361,192,3.9
18.14,44.1,22.407,webgpu,48078,0,1637,11,chunks,361,361,0,361,192,3.9
18.4,45.5,21.712,webgpu,48150,0,1637,11,chunks,361,361,0,361,192,3.9
18.66,43.5,22.562,webgpu,48216,0,1637,11,chunks,361,361,0,361,192,3.9
18.93,44.8,21.869,webgpu,48288,0,1637,11,chunks,361,361,0,361,192,3.9
19.18,43.8,22.393,webgpu,48354,0,1637,11,chunks,361,361,0,361,192,3.9
19.46,44.2,22.137,webgpu,48426,0,1637,11,chunks,361,361,0,361,192,3.9
19.72,42.8,22.944,webgpu,48492,0,1637,11,chunks,361,361,0,361,192,3.9
19.99,44.5,22.094,webgpu,48564,0,1637,11,chunks,361,361,0,361,192,3.9
20.24,46.3,21.169,webgpu,48636,0,1637,11,chunks,361,361,0,361,192,3.9
20.51,44.5,21.973,webgpu,48708,0,1637,11,chunks,361,361,0,361,192,3.9
20.77,46.9,20.873,webgpu,48780,0,1637,11,chunks,361,361,0,361,192,3.9
21.02,47.4,20.71,webgpu,48852,0,1637,11,chunks,361,361,0,361,192,3.9
21.29,47.7,20.529,webgpu,48930,0,1637,11,chunks,361,361,0,361,192,3.9
21.56,46,21.22,webgpu,49002,0,1637,11,chunks,361,361,0,361,192,3.9
21.82,45.9,21.245,webgpu,49074,0,1637,11,chunks,361,361,0,361,192,3.9
22.07,47.5,20.549,webgpu,49146,0,1637,11,chunks,361,361,0,361,192,3.9
22.34,48.8,20.03,webgpu,49224,0,1637,11,chunks,361,361,0,361,192,3.9
22.6,47.1,20.722,webgpu,49296,0,1637,11,chunks,361,361,0,361,192,3.9
22.85,47.1,20.76,webgpu,49368,0,1637,11,chunks,361,361,0,361,192,3.9
23.12,48.9,19.978,webgpu,49446,0,1637,11,chunks,361,361,0,361,192,3.9
23.39,45.6,21.493,webgpu,49518,0,1637,11,chunks,361,361,0,361,192,3.9
23.66,44.8,21.801,webgpu,49590,0,1637,11,chunks,361,361,0,361,192,3.9
23.92,45.2,21.613,webgpu,49662,0,1637,11,chunks,361,361,0,361,192,3.9
24.18,44.7,21.906,webgpu,49728,0,1637,11,chunks,361,361,0,361,192,3.9
24.44,42.8,22.96,webgpu,49794,0,1637,11,chunks,361,361,0,361,192,3.9
24.7,37.9,26.642,webgpu,49848,0,1637,11,chunks,361,361,0,361,192,3.9
24.95,37.3,26.622,webgpu,49902,0,1637,11,chunks,361,361,0,361,192,3.9
25.2,40.1,24.605,webgpu,49962,0,1637,11,chunks,361,361,0,361,192,3.9
25.45,39.9,24.56,webgpu,50022,0,1637,11,chunks,361,361,0,361,192,3.9
25.71,42.1,23.3,webgpu,50088,0,1637,11,chunks,361,361,0,361,192,3.9
25.97,42.6,22.989,webgpu,50154,0,1637,11,chunks,361,361,0,361,192,3.9
26.22,43.5,22.515,webgpu,50220,0,1637,11,chunks,361,361,0,361,192,3.9
26.49,43.8,22.277,webgpu,50292,0,1637,11,chunks,361,361,0,361,192,3.9
26.75,43.8,22.311,webgpu,50358,0,1637,11,chunks,361,361,0,361,192,3.9
27.02,44,22.258,webgpu,50430,0,1637,11,chunks,361,361,0,361,192,3.9
27.28,45.1,21.687,webgpu,50502,0,1637,11,chunks,361,361,0,361,192,3.9
27.55,45.1,21.663,webgpu,50574,0,1637,11,chunks,361,361,0,361,192,3.9
27.8,48,20.386,webgpu,50646,0,1637,11,chunks,361,361,0,361,192,3.9
28.06,46.7,21.063,webgpu,50718,0,1637,11,chunks,361,361,0,361,192,3.9
28.32,48,20.444,webgpu,50790,0,1637,11,chunks,361,361,0,361,192,3.9
28.58,48.2,20.351,webgpu,50868,0,1637,11,chunks,361,361,0,361,192,3.9
28.84,47.2,20.84,webgpu,50940,0,1637,11,chunks,361,361,0,361,192,3.9
29.11,48.4,20.346,webgpu,51018,0,1637,11,chunks,361,361,0,361,192,3.9
29.37,49.8,19.816,webgpu,51096,0,1637,11,chunks,361,361,0,361,192,3.9
29.63,49,20.093,webgpu,51174,0,1637,11,chunks,361,361,0,361,192,3.9
29.9,46.6,21.233,webgpu,51246,0,1637,11,chunks,361,361,0,361,192,3.9
30.15,47.5,20.765,webgpu,51318,0,1637,11,chunks,361,361,0,361,192,3.9
30.42,49.2,20.085,webgpu,51396,0,1637,11,chunks,361,361,0,361,192,3.9
30.69,48.3,20.429,webgpu,51474,0,1637,11,chunks,361,361,0,361,192,3.9
30.95,50.6,19.586,webgpu,51552,0,1637,11,chunks,361,361,0,361,192,3.9
31.21,50.5,19.551,webgpu,51630,0,1637,11,chunks,361,361,0,361,192,3.9
31.47,49.2,20.037,webgpu,51708,0,1637,11,chunks,361,361,0,361,192,3.9
31.73,48,20.546,webgpu,51780,0,1637,11,chunks,361,361,0,361,192,3.9
31.99,50.1,19.7,webgpu,51858,0,1637,11,chunks,361,361,0,361,192,3.9
32.25,52.5,18.79,webgpu,51942,0,1637,11,chunks,361,361,0,361,192,3.9
32.52,49,20.097,webgpu,52020,0,1637,11,chunks,361,361,0,361,192,3.9
32.78,45.9,21.507,webgpu,52086,0,1637,11,chunks,361,361,0,361,192,3.9
33.03,47.7,20.543,webgpu,52158,0,1637,11,chunks,361,361,0,361,192,3.9
33.28,47.5,20.584,webgpu,52230,0,1637,11,chunks,361,361,0,361,192,3.9
33.55,45.6,22.175,webgpu,52302,0,1637,11,chunks,361,361,0,361,192,3.9
33.82,46.1,21.218,webgpu,52374,0,1637,11,chunks,361,361,0,361,192,3.9
34.08,45.9,21.292,webgpu,52446,0,1637,11,chunks,361,361,0,361,192,3.9
34.35,45.4,21.547,webgpu,52518,0,1637,11,chunks,361,361,0,361,192,3.9
34.62,41.6,23.853,webgpu,52584,0,1637,11,chunks,361,361,0,361,192,3.9
34.87,42.8,22.886,webgpu,52650,0,1637,11,chunks,361,361,0,361,192,3.9
35.12,43.6,22.442,webgpu,52716,0,1637,11,chunks,361,361,0,361,192,3.9
35.39,44.4,22.054,webgpu,52788,0,1637,11,chunks,361,361,0,361,192,3.9
35.65,43.1,22.745,webgpu,52854,0,1637,11,chunks,361,361,0,361,192,3.9
35.91,42.9,22.797,webgpu,52920,0,1637,11,chunks,361,361,0,361,192,3.9
36.16,42.9,22.792,webgpu,52986,0,1637,11,chunks,361,361,0,361,192,3.9
36.41,43.6,22.46,webgpu,53052,0,1637,11,chunks,361,361,0,361,192,3.9
36.67,43,22.791,webgpu,53118,0,1637,11,chunks,361,361,0,361,192,3.9
36.94,44.1,22.26,webgpu,53190,0,1637,11,chunks,361,361,0,361,192,3.9
37.2,44,22.203,webgpu,53256,0,1637,11,chunks,361,361,0,361,192,3.9
37.46,44.7,21.928,webgpu,53328,0,1637,11,chunks,361,361,0,361,192,3.9
37.71,47.1,20.724,webgpu,53400,0,1637,11,chunks,361,361,0,361,192,3.9
37.98,49,19.871,webgpu,53478,0,1637,11,chunks,361,361,0,361,192,3.9
38.23,50.9,19.301,webgpu,53556,0,1637,11,chunks,361,361,0,361,192,3.9
38.5,50,19.622,webgpu,53634,0,1637,11,chunks,361,361,0,361,192,3.9
38.76,49.2,19.859,webgpu,53712,0,1637,11,chunks,361,361,0,361,192,3.9
39.01,51.2,19.22,webgpu,53790,0,1637,11,chunks,361,361,0,361,192,3.9
39.28,52.6,18.68,webgpu,53874,0,1637,11,chunks,361,361,0,361,192,3.9
39.54,50.9,19.281,webgpu,53952,0,1637,11,chunks,361,361,0,361,192,3.9
