t,fps,cpuMs,backend,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,71.8,13.463,webgpu,9357,0,545,11,chunks,361,361,0,0,20,5.5
0.25,75.9,12.777,webgpu,9465,0,545,11,chunks,361,361,0,0,20,5.5
0.51,75.4,12.836,webgpu,9579,0,545,11,chunks,361,361,0,0,20,5.5
0.76,75.1,12.964,webgpu,9693,0,545,11,chunks,361,361,0,0,20,5.5
1.02,74.8,13.038,webgpu,9807,0,545,11,chunks,361,361,0,0,20,5.5
1.27,74.2,13.178,webgpu,9921,0,545,11,chunks,361,361,0,0,20,5.5
1.53,67,14.869,webgpu,10023,0,545,11,chunks,361,361,0,0,20,5.5
1.78,70.1,14.057,webgpu,10125,0,545,11,chunks,361,361,0,0,20,5.5
2.03,76.3,12.491,webgpu,10239,0,545,11,chunks,361,361,0,0,20,5.5
2.28,76.2,12.766,webgpu,10353,0,545,11,chunks,361,361,0,0,20,5.5
2.53,80.2,11.631,webgpu,10467,0,545,11,chunks,361,361,0,0,20,5.5
2.79,75.6,10.492,webgpu,10581,0,545,11,chunks,361,361,0,0,20,5.5
3.04,75.1,10.571,webgpu,10695,0,545,11,chunks,361,361,0,0,20,5.5
3.29,75,10.567,webgpu,10809,0,545,11,chunks,361,361,0,0,20,5.5
3.55,75,11.485,webgpu,10923,0,545,11,chunks,361,361,0,0,20,5.5
3.8,75.3,11.135,webgpu,11037,0,545,11,chunks,361,361,0,0,20,5.5
4.05,75,11.391,webgpu,11151,0,545,11,chunks,361,361,0,0,20,5.5
4.31,75.2,11.563,webgpu,11265,0,545,11,chunks,361,361,0,0,20,5.5
4.56,73.7,11.122,webgpu,11379,0,545,11,chunks,361,361,0,0,20,5.5
4.81,75.1,11.167,webgpu,11493,0,545,11,chunks,361,361,0,0,20,5.5
5.07,75,11.373,webgpu,11607,0,545,11,chunks,361,361,0,0,20,5.5
5.32,75,11.793,webgpu,11721,0,545,11,chunks,361,361,0,0,20,5.5
5.57,75.3,11.8,webgpu,11835,0,545,11,chunks,361,361,0,0,20,5.5
5.83,75.1,11.226,webgpu,11949,0,545,11,chunks,361,361,0,0,20,5.5
6.08,60.6,15.961,webgpu,12039,0,545,11,chunks,361,361,0,0,20,5.5
22.73,53.9,16.963,webgpu,12057,0,545,11,chunks,361,361,0,0,20,5.5
22.99,65.3,14.384,webgpu,12147,0,545,11,chunks,361,361,0,0,20,5.5
23.25,73.6,12.271,webgpu,12261,0,545,11,chunks,361,361,0,0,20,5.5
23.5,76.4,12.041,webgpu,12375,0,545,11,chunks,361,361,0,0,20,5.5
23.75,75.8,11.853,webgpu,12489,0,545,11,chunks,361,361,0,0,20,5.5
24.01,75.1,11.031,webgpu,12603,0,545,11,chunks,361,361,0,0,20,5.5
24.26,75,10.463,webgpu,12717,0,545,11,chunks,361,361,0,0,20,5.5
24.52,75.8,11.87,webgpu,12831,0,545,11,chunks,361,361,0,0,20,5.5
24.77,75.3,10.888,webgpu,12945,0,545,11,chunks,361,361,0,0,20,5.5
25.02,75,10.403,webgpu,13059,0,545,11,chunks,361,361,0,0,20,5.5
25.27,75.4,10.498,webgpu,13173,0,545,11,chunks,361,361,0,0,20,5.5
25.53,75,10.115,webgpu,13287,0,545,11,chunks,361,361,0,0,20,5.5
25.78,75,10.017,webgpu,13401,0,545,11,chunks,361,361,0,0,20,5.5
26.03,75.7,11.743,webgpu,13515,0,545,11,chunks,361,361,0,0,20,5.5
26.29,75.4,12.45,webgpu,13629,0,545,11,chunks,361,361,0,0,20,5.5
26.54,77.3,11.324,webgpu,13743,0,545,11,chunks,361,361,0,0,20,5.5
26.79,75.3,10.588,webgpu,13857,0,545,11,chunks,361,361,0,0,20,5.5
27.05,75.2,10.369,webgpu,13971,0,545,11,chunks,361,361,0,0,20,5.5
27.3,75.1,10.317,webgpu,14085,0,545,11,chunks,361,361,0,0,20,5.5
27.56,75,10.348,webgpu,14199,0,545,11,chunks,361,361,0,0,20,5.5
27.81,75,10.061,webgpu,14313,0,545,11,chunks,361,361,0,0,20,5.5
28.06,75,10.224,webgpu,14427,0,545,11,chunks,361,361,0,0,20,5.5
28.32,76.1,10.89,webgpu,14541,0,545,11,chunks,361,361,0,0,20,5.5
28.57,75.1,10.625,webgpu,14655,0,545,11,chunks,361,361,0,0,20,5.5
28.82,75,10.917,webgpu,14769,0,545,11,chunks,361,361,0,0,20,5.5
29.08,75,10.372,webgpu,14883,0,545,11,chunks,361,361,0,0,20,5.5
29.33,74.9,10.616,webgpu,14997,0,545,11,chunks,361,361,0,0,20,5.5
29.59,73.2,12.493,webgpu,15111,0,545,11,chunks,361,361,0,0,20,5.5
29.85,76.1,11.898,webgpu,15231,0,545,11,chunks,361,361,0,0,20,5.5
30.1,75.3,10.849,webgpu,15345,0,545,11,chunks,361,361,0,0,20,5.5
30.36,75,10.744,webgpu,15459,0,545,11,chunks,361,361,0,0,20,5.5
30.61,75,10.684,webgpu,15573,0,545,11,chunks,361,361,0,0,20,5.5
30.86,75,10.476,webgpu,15687,0,545,11,chunks,361,361,0,0,20,5.5
31.12,75.7,10.847,webgpu,15801,0,545,11,chunks,361,361,0,0,20,5.5
31.37,75.1,10.385,webgpu,15915,0,545,11,chunks,361,361,0,0,20,5.5
