t,fps,cpuMs,backend,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,grassChunks,treePlacements,octreeMs
0,59.1,16.537,webgpu,18378,0,576,11,chunks,361,361,0,361,20,5.4
0.25,57.9,17.073,webgpu,18462,0,576,11,chunks,361,361,0,361,20,5.4
0.51,58.4,16.699,webgpu,18552,0,576,11,chunks,361,361,0,361,20,5.4
0.76,59.8,16.441,webgpu,18642,0,576,11,chunks,361,361,0,361,20,5.4
1.02,62.3,15.827,webgpu,18738,0,576,11,chunks,361,361,0,361,20,5.4
1.29,64,15.336,webgpu,18840,0,576,11,chunks,361,361,0,361,20,5.4
1.54,62,15.848,webgpu,18936,0,576,11,chunks,361,361,0,361,20,5.4
1.8,66.2,14.867,webgpu,19038,0,576,11,chunks,361,361,0,361,20,5.4
2.06,66.5,14.781,webgpu,19140,0,576,11,chunks,361,361,0,361,20,5.4
2.32,60.8,16.517,webgpu,19236,0,576,11,chunks,361,361,0,361,20,5.4
2.58,62.1,15.86,webgpu,19332,0,576,11,chunks,361,361,0,361,20,5.4
2.84,62.7,15.639,webgpu,19428,0,576,11,chunks,361,361,0,361,20,5.4
3.09,63.3,15.458,webgpu,19524,0,576,11,chunks,361,361,0,361,20,5.4
3.35,61,16.14,webgpu,19620,0,576,11,chunks,361,361,0,361,20,5.4
3.61,63.6,15.547,webgpu,19716,0,576,11,chunks,361,361,0,361,20,5.4
3.87,65,15.132,webgpu,19818,0,576,11,chunks,361,361,0,361,20,5.4
4.13,63.7,15.295,webgpu,19914,0,576,11,chunks,361,361,0,361,20,5.4
4.38,61,16.148,webgpu,20004,0,576,11,chunks,361,361,0,361,20,5.4
4.64,60.6,16.197,webgpu,20100,0,576,11,chunks,361,361,0,361,20,5.4
4.91,61.5,15.766,webgpu,20196,0,576,11,chunks,361,361,0,361,20,5.4
5.16,59,16.505,webgpu,20286,0,576,11,chunks,361,361,0,361,20,5.4
5.42,60.7,16.041,webgpu,20382,0,576,11,chunks,361,361,0,361,20,5.4
5.68,60.8,15.935,webgpu,20478,0,576,11,chunks,361,361,0,361,20,5.4
5.93,60.1,16.089,webgpu,20568,0,576,11,chunks,361,361,0,361,20,5.4
6.2,60.5,16.186,webgpu,20664,0,576,11,chunks,361,361,0,361,20,5.4
6.46,61.7,15.769,webgpu,20760,0,576,11,chunks,361,361,0,361,20,5.4
6.72,65.2,14.965,webgpu,20862,0,576,11,chunks,361,361,0,361,20,5.4
6.98,62.5,15.665,webgpu,20958,0,576,11,chunks,361,361,0,361,20,5.4
7.24,64.8,15.213,webgpu,21054,0,576,11,chunks,361,361,0,361,20,5.4
7.49,62.6,15.522,webgpu,21150,0,576,11,chunks,361,361,0,361,20,5.4
7.75,61.8,15.683,webgpu,21246,0,576,11,chunks,361,361,0,361,20,5.4
8.01,60.5,16.161,webgpu,21342,0,576,11,chunks,361,361,0,361,20,5.4
8.27,61.4,15.808,webgpu,21438,0,576,11,chunks,361,361,0,361,20,5.4
8.53,62.5,15.578,webgpu,21534,0,576,11,chunks,361,361,0,361,20,5.4
8.79,63.4,15.384,webgpu,21636,0,576,11,chunks,361,361,0,361,20,5.4
9.05,62.2,15.848,webgpu,21732,0,576,11,chunks,361,361,0,361,20,5.4
9.31,62,15.86,webgpu,21828,0,576,11,chunks,361,361,0,361,20,5.4
9.56,62.4,15.73,webgpu,21924,0,576,11,chunks,361,361,0,361,20,5.4
9.82,59.8,16.426,webgpu,22014,0,576,11,chunks,361,361,0,361,20,5.4
10.08,61.3,16.028,webgpu,22110,0,576,11,chunks,361,361,0,361,20,5.4
10.34,64.2,15.337,webgpu,22212,0,576,11,chunks,361,361,0,361,20,5.4
10.6,64.3,15.255,webgpu,22308,0,576,11,chunks,361,361,0,361,20,5.4
10.85,60.1,16.14,webgpu,22398,0,576,11,chunks,361,361,0,361,20,5.4
11.11,63.9,15.402,webgpu,22494,0,576,11,chunks,361,361,0,361,20,5.4
11.37,64.5,15.257,webgpu,22596,0,576,11,chunks,361,361,0,361,20,5.4
11.63,63.1,15.408,webgpu,22692,0,576,11,chunks,361,361,0,361,20,5.4
11.89,57.8,16.544,webgpu,22782,0,576,11,chunks,361,361,0,361,20,5.4
12.15,59.9,15.85,webgpu,22872,0,576,11,chunks,361,361,0,361,20,5.4
12.4,61.4,15.71,webgpu,22968,0,576,11,chunks,361,361,0,361,20,5.4
12.66,49.2,23.613,webgpu,23028,0,576,11,chunks,361,361,0,361,20,5.4
12.94,42.3,27.516,webgpu,23082,0,576,11,chunks,361,361,0,361,20,5.4
13.19,41.3,27.096,webgpu,23142,0,576,11,chunks,361,361,0,361,20,5.4
13.47,42.7,26.161,webgpu,23208,0,576,11,chunks,361,361,0,361,20,5.4
13.74,46.4,23.646,webgpu,23274,0,576,11,chunks,361,361,0,361,20,5.4
14,48.8,22.253,webgpu,23346,0,576,11,chunks,361,361,0,361,20,5.4
14.26,47,23.427,webgpu,23406,0,576,11,chunks,361,361,0,361,20,5.4
14.52,47.2,23.117,webgpu,23472,0,576,11,chunks,361,361,0,361,20,5.4
14.78,46.4,23.344,webgpu,23538,0,576,11,chunks,361,361,0,361,20,5.4
15.06,44.6,24.527,webgpu,23610,0,576,11,chunks,361,361,0,361,20,5.4
15.32,48,22.338,webgpu,23682,0,576,11,chunks,361,361,0,361,20,5.4
15.59,47.6,22.823,webgpu,23754,0,576,11,chunks,361,361,0,361,20,5.4
15.85,51.2,20.577,webgpu,23826,0,576,11,chunks,361,361,0,361,20,5.4
16.11,52.5,20.248,webgpu,23904,0,576,11,chunks,361,361,0,361,20,5.4
16.37,51.9,21.052,webgpu,23976,0,576,11,chunks,361,361,0,361,20,5.4
16.63,51.9,20.559,webgpu,24048,0,576,11,chunks,361,361,0,361,20,5.4
16.89,53.7,20.007,webgpu,24126,0,576,11,chunks,361,361,0,361,20,5.4
17.15,47.5,23.095,webgpu,24192,0,576,11,chunks,361,361,0,361,20,5.4
17.41,49.3,21.511,webgpu,24264,0,576,11,chunks,361,361,0,361,20,5.4
17.68,45.7,24.202,webgpu,24330,0,576,11,chunks,361,361,0,361,20,5.4
17.93,50.6,20.889,webgpu,24408,0,576,11,chunks,361,361,0,361,20,5.4
18.19,49.2,21.552,webgpu,24480,0,575,11,chunks,361,361,0,361,20,5.4
18.46,45.8,23.854,webgpu,24546,0,575,11,chunks,361,361,0,361,20,5.4
18.72,49.8,21.715,webgpu,24618,0,575,11,chunks,361,361,0,361,20,5.4
