t,fps,cpuMs,backend,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,terrainDraws,terrainTris,grassChunks,treePlacements,octreeMs
0,0,0,webgpu,0,0,0,0,cdlod,3,25,22,1,147456,0,0,6.9
1.34,25.6,108.311,webgpu,39,0,19,11,cdlod,13,25,12,1,147456,0,4,6.9
2.36,59.7,25.686,webgpu,129,0,34,11,cdlod,25,25,0,1,147456,0,17,6.9
3.36,75.1,3.2,webgpu,543,0,70,11,cdlod,25,25,0,1,147456,0,17,6.9
4.36,74.9,2.482,webgpu,993,0,70,11,cdlod,25,25,0,1,147456,0,17,6.9
5.36,75,2.682,webgpu,1443,0,70,11,cdlod,25,25,0,1,145920,0,17,6.9
6.36,74.9,2.518,webgpu,1893,0,70,11,cdlod,25,25,0,1,147456,0,17,6.9
7.36,74.8,2.252,webgpu,2343,0,70,11,cdlod,25,25,0,1,147456,0,17,6.9
8.36,75,2.509,webgpu,2793,0,70,11,cdlod,25,25,0,1,147456,0,17,6.9
9.36,74.8,2.307,webgpu,3243,0,70,11,cdlod,25,25,0,1,147456,0,17,6.9
10.38,75,3.117,webgpu,3699,0,82,11,cdlod,40,225,185,1,147456,0,17,6.9
11.38,75,4.71,webgpu,4149,0,147,11,cdlod,115,361,246,1,147456,0,17,6.9
12.38,75,6.05,webgpu,4599,0,213,11,cdlod,190,361,171,1,147456,0,17,6.9
13.38,75,7.758,webgpu,5049,0,282,11,cdlod,265,361,96,1,147456,0,17,6.9
14.38,75,9.527,webgpu,5499,0,352,11,cdlod,340,361,21,1,147456,0,17,6.9
15.38,62.1,10.669,webgpu,5817,0,401,11,cdlod,361,361,0,1,147456,0,20,6.9
16.41,67.9,9.399,webgpu,6267,0,404,11,cdlod,361,361,0,1,147456,0,300,6.9
17.41,38.6,12.836,webgpu,6489,0,469,11,cdlod,361,361,0,1,147456,0,300,6.9
18.42,34.2,17.763,webgpu,6693,0,526,11,cdlod,361,361,0,1,147456,0,300,6.9
19.46,34.1,16.555,webgpu,6903,0,594,11,cdlod,361,361,0,1,147456,0,300,6.9
20.48,34.9,17.734,webgpu,7101,0,654,11,cdlod,361,361,0,1,147456,0,300,6.9
21.49,33.4,17.719,webgpu,7293,0,713,11,cdlod,361,361,0,1,147456,0,300,6.9
22.5,29.9,18.901,webgpu,7473,0,758,11,cdlod,361,361,0,1,147456,0,300,6.9
23.51,25.3,28.712,webgpu,7611,0,861,11,cdlod,351,361,10,1,150528,0,300,38.9
24.52,33.2,23.298,webgpu,7797,0,878,11,cdlod,361,361,0,1,152064,0,298,36.9
25.54,29.3,21.095,webgpu,7971,0,933,11,cdlod,361,361,0,1,152064,0,298,36.9
26.54,31.7,28.872,webgpu,8121,0,950,11,cdlod,361,361,0,1,153600,0,300,29.2
27.55,25.3,29.801,webgpu,8271,0,981,11,cdlod,355,361,6,1,152064,0,300,37.4
28.56,28.3,25.143,webgpu,8439,0,1035,11,cdlod,361,361,0,1,148992,0,303,34.5
29.57,25.5,25.107,webgpu,8589,0,1086,11,cdlod,361,361,0,1,145920,0,303,34.5
30.58,32.4,30.34,webgpu,8769,0,1084,11,cdlod,345,361,16,1,148992,0,303,40.9
31.58,29.6,32.015,webgpu,8943,0,1083,11,cdlod,361,361,0,1,141312,0,303,40.4
32.58,33.9,26.2,webgpu,9111,0,1128,11,cdlod,361,361,0,1,142848,0,303,40.4
33.59,33.4,32.504,webgpu,9315,0,1121,11,cdlod,355,361,6,1,145920,0,303,44.8
34.6,25.3,38.825,webgpu,9465,0,1205,11,cdlod,361,361,0,1,141312,0,300,34
35.61,39.2,25.013,webgpu,9681,0,1213,11,cdlod,361,361,0,1,141312,0,300,34
36.62,40.3,24.517,webgpu,9909,0,1223,11,cdlod,361,361,0,1,145920,0,300,34
37.63,37.2,26.851,webgpu,10125,0,1179,11,cdlod,361,361,0,1,142848,0,299,33.6
38.66,34.1,26.823,webgpu,10287,0,1215,11,cdlod,361,361,0,1,141312,0,299,35.6
39.67,42.7,23.065,webgpu,10545,0,1217,11,cdlod,361,361,0,1,139776,0,299,35.6
40.68,34.8,31.571,webgpu,10773,0,1204,11,cdlod,354,361,7,1,145920,0,299,38
41.71,27.8,29.31,webgpu,10947,0,1186,11,cdlod,361,361,0,1,138240,0,300,31.5
42.72,40.1,24.287,webgpu,11139,0,1210,11,cdlod,361,361,0,1,135168,0,300,31.5
43.72,38.7,25.63,webgpu,11385,0,1191,11,cdlod,343,361,18,1,139776,0,300,42.8
44.73,34.5,31.607,webgpu,11565,0,1193,11,cdlod,355,361,6,1,141312,0,300,36.5
