t,fps,cpuMs,backend,calls,triangles,geometries,textures,terrainMode,drawChunks,targetChunks,pending,terrainDraws,terrainTris,grassChunks,treePlacements,octreeMs
0,0,0,webgpu,0,0,0,0,chunks,1,25,24,1,,0,0,9.9
1.87,15.8,150.265,webgpu,39,0,20,11,chunks,11,25,14,11,,0,1,9.9
3,18.8,123.679,webgpu,51,0,24,11,chunks,14,25,11,14,,0,1,9.9
4.01,75.1,4.627,webgpu,399,0,83,11,chunks,25,25,0,25,,0,17,9.9
5.01,75,4.028,webgpu,849,0,83,11,chunks,25,25,0,25,,0,17,9.9
6.01,74.9,3.881,webgpu,1299,0,83,11,chunks,25,25,0,25,,0,17,9.9
7.01,75,3.574,webgpu,1749,0,83,11,chunks,25,25,0,25,,0,17,9.9
8.02,75,3.689,webgpu,2199,0,83,11,chunks,25,25,0,25,,0,17,9.9
9.02,74.8,5.051,webgpu,2649,0,104,11,chunks,37,361,324,37,,0,17,9.9
10.02,74.9,7.463,webgpu,3099,0,191,11,chunks,112,361,249,112,,0,17,9.9
11.02,75.5,10.599,webgpu,3549,0,279,11,chunks,187,361,174,187,,0,17,9.9
12.02,69,13.809,webgpu,3981,0,363,11,chunks,259,361,102,259,,0,17,9.9
13.04,60.8,15.682,webgpu,4353,0,431,11,chunks,321,361,40,321,,0,17,9.9
14.07,41,18.602,webgpu,4653,0,453,11,chunks,361,361,0,361,,0,20,9.9
15.09,49.9,17.626,webgpu,4881,0,507,11,chunks,361,361,0,361,,0,20,9.9
16.11,52.4,19.223,webgpu,5163,0,507,11,chunks,361,361,0,361,,0,20,9.9
17.11,53.1,18.144,webgpu,5499,0,507,11,chunks,361,361,0,361,,0,20,9.9
18.12,51.9,18.617,webgpu,5823,0,507,11,chunks,361,361,0,361,,0,20,9.9
19.13,58,16.499,webgpu,6171,0,507,11,chunks,361,361,0,361,,0,20,9.9
20.16,32.3,20.223,webgpu,6351,0,544,11,chunks,361,361,0,361,,0,300,9.9
21.2,32,20.61,webgpu,6531,0,580,11,chunks,361,361,0,361,,0,300,9.9
22.21,32.5,20.818,webgpu,6711,0,615,11,chunks,361,361,0,361,,0,300,9.9
23.21,30,21.473,webgpu,6885,0,656,11,chunks,361,361,0,361,,0,300,9.9
24.21,30,23.267,webgpu,7059,0,697,11,chunks,361,361,0,361,,0,300,9.9
25.22,25.9,27.371,webgpu,7215,0,729,11,chunks,361,361,0,361,,0,300,9.9
26.25,28.9,24.496,webgpu,7383,0,758,11,chunks,361,361,0,361,,0,300,9.9
27.26,24.7,29.476,webgpu,7527,0,786,11,chunks,361,361,0,361,,0,300,9.9
28.28,21.3,45.26,webgpu,7623,0,976,11,chunks,349,361,12,349,,0,300,60.9
29.28,23.9,42.1,webgpu,7737,0,973,11,chunks,361,361,0,361,,0,298,57.5
30.32,23.8,34.741,webgpu,7863,0,1011,11,chunks,361,361,0,361,,0,298,63
31.33,26.6,28.337,webgpu,8013,0,1070,11,chunks,361,361,0,361,,0,298,63
32.35,27.8,25.75,webgpu,8169,0,1144,11,chunks,361,361,0,361,,0,298,63
33.37,26.3,26.872,webgpu,8319,0,1183,11,chunks,361,361,0,361,,0,298,63
34.41,23.9,31.066,webgpu,8463,0,1219,11,chunks,361,361,0,361,,0,298,63
35.42,24.4,29.083,webgpu,8607,0,1257,11,chunks,361,361,0,361,,0,298,63
36.46,24.8,28.696,webgpu,8757,0,1293,11,chunks,361,361,0,361,,0,298,63
37.47,25.2,28.337,webgpu,8907,0,1330,11,chunks,361,361,0,361,,0,298,63
38.47,21.8,33.845,webgpu,9027,0,1425,11,chunks,361,361,0,361,,0,298,63
39.51,23.9,31.166,webgpu,9171,0,1450,11,chunks,361,361,0,361,,0,298,63
40.54,30.7,31.378,webgpu,9351,0,1469,11,chunks,361,361,0,361,,0,298,63
41.56,30.9,32.105,webgpu,9531,0,1532,11,chunks,361,361,0,361,,0,298,63
42.57,33,30.088,webgpu,9729,0,1532,11,chunks,361,361,0,361,,0,298,63
43.61,30.7,32.249,webgpu,9921,0,1549,11,chunks,361,361,0,361,,0,298,63
44.62,32.1,31.233,webgpu,10089,0,1563,11,chunks,361,361,0,361,,0,298,63
45.62,31.5,34.147,webgpu,10275,0,1546,11,chunks,344,361,17,344,,0,298,36.3
46.64,26.3,37.824,webgpu,10431,0,1518,11,chunks,361,361,0,361,,0,300,43.6
47.74,18.6,49.587,webgpu,10533,0,1507,11,chunks,334,361,27,334,,0,300,52.8
48.77,27.4,39.263,webgpu,10683,0,1539,11,chunks,359,361,2,359,,0,300,39.7
49.79,25.4,38.027,webgpu,10833,0,1479,11,chunks,361,361,0,361,,0,295,52.6
50.82,26.9,29.093,webgpu,10941,0,1505,11,chunks,361,361,0,361,,0,295,52.6
51.84,23.1,41.612,webgpu,11061,0,1531,11,chunks,356,361,5,356,,0,295,44.7
52.85,23.8,37.248,webgpu,11205,0,1497,11,chunks,361,361,0,361,,0,292,36.6
53.88,24.9,38.641,webgpu,11337,0,1500,11,chunks,342,361,19,342,,0,292,50.6
54.9,28.4,37.658,webgpu,11499,0,1476,11,chunks,361,361,0,361,,0,291,45.8
55.91,28.4,31.711,webgpu,11643,0,1506,11,chunks,361,361,0,361,,0,291,43.2
56.92,29.7,34.744,webgpu,11811,0,1456,11,chunks,361,361,0,361,,0,291,34.9
57.95,22.8,35.535,webgpu,11937,0,1488,11,chunks,361,361,0,361,,0,291,44.4
58.98,30.3,34.714,webgpu,12117,0,1482,11,chunks,352,361,9,352,,0,291,34.1
59.98,27,36.041,webgpu,12267,0,1453,11,chunks,361,361,0,361,,0,295,46.2
61.01,23.9,36.664,webgpu,12393,0,1482,11,chunks,359,361,2,359,,0,295,34.7
62.04,21.7,38.493,webgpu,12531,0,1510,11,chunks,361,361,0,361,,0,300,35.3
63.04,29.4,31.197,webgpu,12687,0,1530,11,chunks,361,361,0,361,,0,300,35.3
64.06,30,33.088,webgpu,12879,0,1567,11,chunks,361,361,0,361,,0,300,35.3
65.09,29.3,33.855,webgpu,13065,0,1571,11,chunks,361,361,0,361,,0,300,35.3
66.1,26.9,37.611,webgpu,13239,0,1571,11,chunks,361,361,0,361,,0,300,35.3
67.13,29.7,33.653,webgpu,13407,0,1571,11,chunks,361,361,0,361,,0,300,35.3
68.15,29.7,36.903,webgpu,13587,0,1566,11,chunks,353,361,8,353,,0,300,40.8
69.2,25.1,38.556,webgpu,13737,0,1524,11,chunks,361,361,0,361,,0,297,43
70.24,20.3,38.84,webgpu,13857,0,1549,11,chunks,361,361,0,361,,0,297,43
71.24,23.5,41.652,webgpu,14007,0,1551,11,chunks,361,361,0,361,,0,297,43
72.27,29.1,34.023,webgpu,14187,0,1551,11,chunks,361,361,0,361,,0,297,43
