t,fps,cpuMs,backend,calls,triangles,geometries,textures,creatures,creatureVisible,creatureSim,creatureRendered,creatureBodyOnly,creatureMs,creatureLod0,creatureLod1,creatureLod2,creatureLod3,creatureIkFull,creatureIkCheap,creatureShadows,terrainMode,drawChunks,targetChunks,pending,terrainDraws,terrainTris,grassChunks,treePlacements,octreeMs
0,0,0,webgpu,0,0,0,0,6,6,6,6,0,4.4,6,0,0,0,0,0,120,cdlod,3,25,22,1,147456,0,0,4.9
1.03,1.9,2.63,webgpu,6,0,34,5,6,6,6,6,0,2.7,6,0,0,0,180,0,120,cdlod,5,25,20,1,147456,0,4,4.9
2.24,2.7,119.197,webgpu,12,0,37,11,6,6,6,6,0,5.5,6,0,0,0,180,0,120,cdlod,6,25,19,1,147456,0,4,4.9
4.02,3.4,112.897,webgpu,18,0,38,11,6,6,6,6,0,2.7,6,0,0,0,180,0,120,cdlod,7,25,18,1,148992,0,4,4.9
5.03,35.9,27.887,webgpu,162,0,79,11,6,6,6,6,0,1.7,6,0,0,0,72,0,120,cdlod,25,25,0,1,141312,0,17,4.9
6.04,77.7,12.127,webgpu,528,0,105,11,6,6,6,6,0,1.2,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
7.04,72.1,13.18,webgpu,948,0,105,11,6,6,6,6,0,1.2,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
8.06,59,16.489,webgpu,1290,0,105,11,6,6,6,6,0,1.1,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
9.06,70.2,13.97,webgpu,1686,0,105,11,6,6,6,6,0,0.6,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
10.07,67.6,14.463,webgpu,2088,0,105,11,6,6,6,6,0,0.6,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
11.08,71.7,13.703,webgpu,2508,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
12.08,60.4,16.392,webgpu,2898,0,105,11,6,6,6,6,0,1,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
13.09,72.3,13.607,webgpu,3312,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
14.09,69.1,14.165,webgpu,3720,0,105,11,6,6,6,6,0,0.6,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
15.1,69.1,13.759,webgpu,4122,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,4.9
