t,fps,cpuMs,backend,calls,triangles,geometries,textures,creatures,creatureVisible,creatureSim,creatureRendered,creatureBodyOnly,creatureMs,creatureLod0,creatureLod1,creatureLod2,creatureLod3,creatureIkFull,creatureIkCheap,creatureShadows,terrainMode,drawChunks,targetChunks,pending,terrainDraws,terrainTris,grassChunks,treePlacements,octreeMs
0,0,0,webgpu,0,0,0,0,6,6,6,6,0,5.4,6,0,0,0,0,0,120,cdlod,3,25,22,1,147456,0,0,7.4
1.07,1.9,3.42,webgpu,6,0,34,5,6,6,6,6,0,2.6,6,0,0,0,180,0,120,cdlod,5,25,20,1,147456,0,4,7.4
2.46,2.7,137.708,webgpu,12,0,37,11,6,6,6,6,0,3.8,6,0,0,0,180,0,120,cdlod,6,25,19,1,147456,0,4,7.4
3.85,3.4,127.417,webgpu,18,0,38,11,6,6,6,6,0,2.5,6,0,0,0,180,0,120,cdlod,7,25,18,1,148992,0,4,7.4
4.88,40.9,30.477,webgpu,150,0,75,11,6,6,6,6,0,1.1,6,0,0,0,108,0,120,cdlod,25,25,0,1,147456,0,17,7.4
5.88,54.7,17.62,webgpu,426,0,105,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
6.88,58.5,16.723,webgpu,762,0,105,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
7.89,70.8,13.835,webgpu,1164,0,105,11,6,6,6,6,0,0.4,6,0,0,0,0,0,120,cdlod,25,25,0,1,141312,0,17,7.4
8.9,66.4,14.778,webgpu,1560,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
9.9,68.5,14.369,webgpu,1974,0,105,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
10.91,72.1,13.784,webgpu,2394,0,105,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
11.91,71.5,13.43,webgpu,2808,0,105,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
12.93,62.9,15.631,webgpu,3180,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
13.93,70.7,14.005,webgpu,3582,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
14.94,62.7,15.374,webgpu,3960,0,105,11,6,6,6,6,0,0.5,6,0,0,0,36,0,120,cdlod,25,25,0,1,141312,0,17,7.4
15.95,63,15.435,webgpu,4332,0,107,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.4
16.96,63.4,15.617,webgpu,4710,0,107,11,6,6,6,6,0,0.6,6,0,0,0,0,0,120,cdlod,25,25,0,1,141312,0,17,7.4
17.96,65.9,14.907,webgpu,5088,0,107,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,139776,0,17,7.4
18.97,64.8,15.153,webgpu,5472,0,107,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,139776,0,17,7.4
19.98,62,15.826,webgpu,5844,0,107,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,139776,0,17,7.4
20.99,64.4,15.03,webgpu,6222,0,107,11,6,6,6,6,0,1,6,0,0,0,36,0,120,cdlod,25,25,0,1,139776,0,17,7.4
22.01,67.6,14.734,webgpu,6624,0,107,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,139776,0,17,7.4
