t,fps,cpuMs,backend,calls,triangles,geometries,textures,creatures,creatureVisible,creatureSim,creatureRendered,creatureBodyOnly,creatureMs,creatureLod0,creatureLod1,creatureLod2,creatureLod3,creatureIkFull,creatureIkCheap,creatureShadows,terrainMode,drawChunks,targetChunks,pending,terrainDraws,terrainTris,grassChunks,treePlacements,octreeMs
0,0,0,webgpu,0,0,0,0,6,6,6,6,0,4.7,6,0,0,0,0,0,120,cdlod,3,25,22,1,147456,0,0,10.1
2.2,9.1,151.899,webgpu,36,0,51,11,6,6,6,6,0,3,6,0,0,0,180,0,120,cdlod,12,25,13,1,147456,0,4,10.1
3.73,9.2,139.219,webgpu,42,0,52,11,6,6,6,6,0,2.6,6,0,0,0,180,0,120,cdlod,13,25,12,1,147456,0,4,10.1
4.74,48.9,17.978,webgpu,282,0,105,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
5.74,69.9,14.135,webgpu,678,0,105,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
6.74,66.3,14.736,webgpu,1080,0,105,11,6,6,6,6,0,0.6,6,0,0,0,0,0,120,cdlod,25,25,0,1,147456,0,17,10.1
7.75,73.5,13.462,webgpu,1488,0,105,11,6,6,6,6,0,0.6,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
8.76,68.4,14.336,webgpu,1890,0,105,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
9.77,63.9,15.03,webgpu,2262,0,105,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
10.78,58.3,16.747,webgpu,2610,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
11.79,65,14.811,webgpu,2976,0,105,11,6,6,6,6,0,0.4,6,0,0,0,0,0,120,cdlod,25,25,0,1,147456,0,17,10.1
12.8,63.4,15.063,webgpu,3360,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
13.81,64.3,15.016,webgpu,3750,0,105,11,6,6,6,6,0,0.4,6,0,0,0,0,0,120,cdlod,25,25,0,1,147456,0,17,10.1
14.82,64.7,14.99,webgpu,4146,0,105,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
15.83,66.1,14.938,webgpu,4524,0,105,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
16.84,62.7,15.786,webgpu,4902,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
17.84,66.2,15.126,webgpu,5286,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
18.84,57.1,17.261,webgpu,5640,0,105,11,6,6,6,6,0,1.3,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
19.84,57.8,16.756,webgpu,5982,0,105,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
20.85,58.7,16.681,webgpu,6324,0,105,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
21.86,63.7,15.419,webgpu,6684,0,105,11,6,6,6,6,0,0.6,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
22.87,58.8,16.625,webgpu,7038,0,105,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,10.1
