t,fps,cpuMs,backend,calls,triangles,geometries,textures,creatures,creatureVisible,creatureSim,creatureRendered,creatureBodyOnly,creatureMs,creatureLod0,creatureLod1,creatureLod2,creatureLod3,creatureIkFull,creatureIkCheap,creatureShadows,terrainMode,drawChunks,targetChunks,pending,terrainDraws,terrainTris,grassChunks,treePlacements,octreeMs
0,0,0,webgpu,0,0,0,0,6,6,6,6,0,3.5,6,0,0,0,0,0,120,cdlod,3,25,22,1,147456,0,0,7.6
2.15,6.7,166.175,webgpu,21,0,41,11,6,6,6,6,0,2.8,6,0,0,0,180,0,120,cdlod,9,25,16,1,147456,0,4,7.6
3.15,8.7,141.228,webgpu,33,0,46,11,6,6,6,6,0,1.8,6,0,0,0,72,0,120,cdlod,11,25,14,1,147456,0,4,7.6
4.17,34,21.184,webgpu,237,0,97,11,6,6,6,6,0,1,6,0,0,0,72,0,120,cdlod,25,25,0,1,147456,0,17,7.6
5.18,61.8,16.059,webgpu,615,0,103,11,6,6,6,6,0,1.2,6,0,0,0,72,0,120,cdlod,25,25,0,1,147456,0,17,7.6
6.18,54.1,17.695,webgpu,933,0,103,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
7.19,64.4,15.388,webgpu,1263,0,103,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
8.2,68.4,14.329,webgpu,1641,0,103,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
9.2,74.3,13.248,webgpu,2037,0,103,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
10.21,74.6,13.129,webgpu,2445,0,103,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
11.22,74.7,12.247,webgpu,2865,0,103,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
12.23,68,14.061,webgpu,3267,0,103,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
13.24,66.4,14.605,webgpu,3669,0,103,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
14.26,54.3,18.236,webgpu,4017,0,103,11,6,6,6,6,0,1,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
15.26,56.1,17.231,webgpu,4347,0,103,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
16.27,61.7,15.902,webgpu,4695,0,103,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
17.28,58.1,16.784,webgpu,5043,0,103,11,6,6,6,6,0,1,6,0,0,0,36,0,120,cdlod,25,25,0,1,147456,0,17,7.6
18.28,54.4,17.778,webgpu,5355,0,103,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,144384,0,17,7.6
19.29,47.7,20.89,webgpu,5649,0,103,11,6,6,6,6,0,1.1,6,0,0,0,36,0,120,cdlod,25,25,0,1,144384,0,17,7.6
20.3,43.6,22.448,webgpu,5877,0,103,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,150528,0,17,7.6
21.32,49.6,19.875,webgpu,6165,0,106,11,6,6,6,6,0,1.3,6,0,0,0,72,0,120,cdlod,25,25,0,1,147456,0,17,7.6
22.33,47.9,20.557,webgpu,6435,0,107,11,6,6,6,6,0,1,6,0,0,0,36,0,120,cdlod,25,25,0,1,145920,0,17,7.6
23.33,47.5,20.542,webgpu,6711,0,107,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,145920,0,17,7.6
24.35,48.1,20.376,webgpu,6999,0,109,11,6,6,6,6,0,1.1,6,0,0,0,72,0,120,cdlod,25,25,0,1,152064,0,17,7.6
25.35,52.1,19.111,webgpu,7305,0,109,11,6,6,6,6,0,0.8,6,0,0,0,36,0,120,cdlod,25,25,0,1,152064,0,17,7.6
26.37,54.4,18.117,webgpu,7611,0,109,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,152064,0,17,7.6
27.38,49.6,19.736,webgpu,7905,0,109,11,6,6,6,6,0,1,6,0,0,0,72,0,120,cdlod,25,25,0,1,152064,0,17,7.6
28.39,56.4,17.977,webgpu,8199,0,109,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,152064,0,17,7.6
29.41,55.6,17.635,webgpu,8517,0,109,11,6,6,6,6,0,1.2,6,0,0,0,36,0,120,cdlod,25,25,0,1,152064,0,17,7.6
30.41,48.7,20.237,webgpu,8811,0,109,11,6,6,6,6,0,1.3,6,0,0,0,72,0,120,cdlod,25,25,0,1,152064,0,17,7.6
31.42,60.5,16.275,webgpu,9135,0,109,11,6,6,6,6,0,0.7,6,0,0,0,36,0,120,cdlod,25,25,0,1,152064,0,17,7.6
32.42,55,17.968,webgpu,9459,0,109,11,6,6,6,6,0,0.9,6,0,0,0,36,0,120,cdlod,25,25,0,1,152064,0,17,7.6
