t,fps,cpuMs,backend,calls,triangles,geometries,textures,creatures,creatureVisible,creatureSim,creatureRendered,creatureBodyOnly,creatureMs,creatureLod0,creatureLod1,creatureLod2,creatureLod3,creatureIkFull,creatureIkCheap,creatureShadows,terrainMode,drawChunks,targetChunks,pending,terrainDraws,terrainTris,grassChunks,treePlacements
0,63.8,15.079,webgpu,82620,0,94,22,6,6,6,6,0,0.8,6,0,0,0,30,0,104,cdlod,9,9,0,1,79872,0,18
1.01,46.5,16.093,webgpu,83628,0,119,22,6,6,6,6,0,0.7,6,0,0,0,30,0,104,cdlod,9,9,0,1,79872,0,18
2.03,61.4,16.595,webgpu,84744,0,119,22,6,6,6,6,0,0.6,6,0,0,0,30,0,104,cdlod,9,9,0,1,79872,0,18
3.04,72.3,12.685,webgpu,86094,0,119,22,6,6,6,6,0,0.7,6,0,0,0,30,0,104,cdlod,9,9,0,1,79872,0,18
4.04,66,13.891,webgpu,87336,0,119,22,6,6,6,6,0,0.9,6,0,0,0,30,0,104,cdlod,9,9,0,1,79872,0,18
5.06,59.8,16.539,webgpu,88560,0,140,22,6,6,6,6,0,0.8,6,0,0,0,60,0,104,cdlod,31,121,90,1,153600,0,18
6.07,51.9,18.862,webgpu,89568,0,186,22,6,6,6,6,0,0.7,6,0,0,0,30,0,104,cdlod,87,289,202,1,153600,0,18
7.08,50.6,19.395,webgpu,90540,0,235,22,6,6,6,6,0,0.7,6,0,0,0,60,0,104,cdlod,141,361,220,1,153600,0,18
8.09,50.2,19.568,webgpu,91512,0,283,22,6,6,6,6,0,0.6,6,0,0,0,30,0,104,cdlod,195,361,166,1,153600,0,18
9.12,38.9,25.197,webgpu,92286,0,322,22,6,6,6,6,0,0.8,6,0,0,0,30,0,104,cdlod,238,361,123,1,153600,0,18
10.14,38.4,25.429,webgpu,92988,0,358,22,6,6,6,6,0,1.1,6,0,0,0,60,0,104,cdlod,277,361,84,1,150528,0,18
11.14,33.7,29.241,webgpu,93582,0,391,22,6,6,6,6,0,0.7,6,0,0,0,60,0,104,cdlod,310,361,51,1,147456,0,18
12.17,34.9,28.361,webgpu,94230,0,424,22,6,6,6,6,0,0.8,6,0,0,0,60,0,104,cdlod,346,361,15,1,147456,0,18
13.2,25.9,30.819,webgpu,94752,0,446,22,6,6,6,6,0,0.8,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
14.23,30.9,31.135,webgpu,95274,0,490,22,6,6,6,6,0,0.8,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
15.25,31.1,31.888,webgpu,95868,0,490,22,6,6,6,6,0,1,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
16.26,32.8,30.077,webgpu,96462,0,490,22,6,6,6,6,0,0.7,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
17.29,32.2,30.871,webgpu,97056,0,490,22,6,6,6,6,0,0.8,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
18.3,37.5,26.472,webgpu,97686,0,490,22,6,6,6,6,0,0.6,6,0,0,0,30,0,104,cdlod,361,361,0,1,147456,0,20
19.3,35.4,27.824,webgpu,98352,0,490,22,6,6,6,6,0,1,6,0,0,0,30,0,104,cdlod,361,361,0,1,147456,0,20
20.32,31.8,30.944,webgpu,98928,0,491,22,6,6,6,6,0,0.7,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
21.33,33.6,29.502,webgpu,99504,0,491,22,6,6,6,6,0,1,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
22.36,32.7,30.286,webgpu,100098,0,491,22,6,6,6,6,0,0.9,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
23.36,38.4,25.749,webgpu,100710,0,491,22,6,6,6,6,0,0.7,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
24.39,34.2,29.119,webgpu,101394,0,491,22,6,6,6,6,0,0.9,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
25.41,34.2,28.955,webgpu,102006,0,491,22,6,6,6,6,0,0.6,6,0,0,0,30,0,104,cdlod,361,361,0,1,147456,0,20
26.42,37.6,26.382,webgpu,102672,0,491,22,6,6,6,6,0,0.7,6,0,0,0,30,0,104,cdlod,361,361,0,1,147456,0,20
27.43,38.8,25.338,webgpu,103338,0,491,22,6,6,6,6,0,0.7,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
28.46,40.6,24.318,webgpu,104076,0,491,22,6,6,6,6,0,0.6,6,0,0,0,60,0,104,cdlod,361,361,0,1,147456,0,20
29.47,38.7,25.415,webgpu,104742,0,491,22,6,6,6,6,0,0.5,6,0,0,0,30,0,104,cdlod,361,361,0,1,147456,0,20
